acronym	name	description	homepage	contact	released	administeredBy
LIPRO	Lipid Ontology	Lipid research is increasingly integrated within systems level biology such as lipidomics where lipid classification is required before appropriate annotation of chemical functions can be applied. The ontology describes the LIPIDMAPS nomenclature classification explicitly using description logics (OWL-DL). Lipid classes are organized hierarchically with the super-classes restricted by generic necessary conditions. More specific necessary conditions are used to define membership requirements for sub classes of lipid according to appropriate functional groups.		Christipher Baker	2014-02-11T20:34:46.000-08:00	https://data.bioontology.org/users/bakerc%40unb.ca
OPDRE	OPD Regitry Ethiopia	Out patient registry that is used in health facilities in Ethiopia.		Getu Tadele Taye	2021-05-27T00:00:00.000+00:00	https://data.bioontology.org/users/GetuFAIR
FB-CV	FlyBase Controlled Vocabulary	A structured controlled vocabulary used for various aspects of annotation by FlyBase. It includes the Drosophila Phenotype Ontology (DPO) which is also released separately. This ontology is maintained by FlyBase for various aspects of annotation not covered, or not yet covered, by other OBO ontologies. If and when community ontologies are available for the domains here covered FlyBase will use them., A miscellaneous ontology of terms used for curation in FlyBase, including the DPO.	http://purl.obolibrary.org/obo/fbcv	Clare Pilgrim	2025-10-17T18:04:51.000-07:00	https://data.bioontology.org/users/mmc46
CHEBI	Chemical Entities of Biological Interest Ontology	A structured classification of chemical compounds of biological relevance.	http://www.ebi.ac.uk/chebi	Adnan Malik	2025-10-16T18:01:19.000-07:00	https://data.bioontology.org/users/amalik
PMO-SPEED	PMO Playing Speed Vocabulary	Vocabulary for playing speeds of audio carriers, e.g., audio discs, audio cassettes, piano/organ rolls, primarily for use with the Performed Music Ontology, or other similar music ontologies.	https://github.com/LD4P/PerformedMusicOntology/tree/master/Vocabularies	Nancy Lorimer	2018-07-12T18:10:52.000-07:00	https://data.bioontology.org/users/nlorimer
SHEDDING-HUB	Pathogen and Biomarker Shedding	The Shedding Hub Vocabulary (SHV) is a SKOS-based controlled vocabulary designed to standardize terminology for studies involving pathogen and biomarker shedding.		Yuke Wang	2025-09-16T00:00:00.000+00:00	https://data.bioontology.org/users/YWAN446
IDODEN	Dengue Fever Ontology	An ontology for dengue fever.	http://code.google.com/p/dengue-fever-ontology/	Elvira Mitraka	2013-07-12T00:00:00.000-07:00	https://data.bioontology.org/users/Elvira
BIRTHONTO	BirthOnto: Birth Data Analysis	US Birth ontology is a formal representation of the concepts, properties, and relationships that are relevant to the domain of US birth data\r\n\r\nCompetency questions are:\r\n1. What is the total number of live births in the United States for a given year?\r\n\r\n2. What is the distribution of birth weight for babies born to mothers of different ages?\r\n\r\n3. What is the prevalence of preterm births among babies born to mothers who smoke during pregnancy?\r\n\r\n4. What is the relationship between maternal age and the likelihood of having a multiple birth?\r\n\r\n5. What is the difference in birth outcomes between mothers who receive prenatal care and those who do not?\r\n\r\n6. What is the trend in the rate of low birth weight babies over time?\r\n\r\n7. What is the impact of socioeconomic status on birth outcomes, such as birth weight and gestational age?\r\n\r\n8. What is the relationship between the mother's race and ethnicity and the likelihood of having a preterm birth?\r\n\r\n9. What are the common risk factors for adverse birth outcomes, and how do they interact with each other?\r\n\r\nUS Birth ontology can be used to facilitate data integration, analysis, and sharing across different data sources and systems. It can help to ensure that data is consistent, interoperable, and reusable, and can facilitate data discovery and reuse. The ontology can be used by researchers, healthcare professionals, and policymakers to ask and answer questions about birth outcomes, risk factors, and trends in the US birth data.	https://koolgax99.github.io/abhilash-US-birth-onto/index-en.html	Abhilash C B	2023-03-28T00:00:00.000+00:00	https://data.bioontology.org/users/Abhilash+C+B
MMO	Measurement Method Ontology	The Measurement Method Ontology is designed to represent the variety of methods used to make qualitative and quantitative clinical and phenotype measurements both in the clinic and with model organisms.	https://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=MMO:0000000	Anne Kwitek	2023-07-10T18:11:01.000-07:00	https://data.bioontology.org/users/jrsmith_rgd
IDOMAL	Malaria Ontology	An application ontology for malaria extending the infectious disease ontology (IDO)\r\n	http://anobase.vectorbase.org/idomal/IDOMAL.obo	Pantelis Topalis	2015-03-16T00:00:00.000+00:00	https://data.bioontology.org/users/topalis
MEO	Metagenome and Microbes Environmental Ontology	An ontology for describing organismal habitats, with a particular focus on microbial environments.	https://mdatahub.org	Hiroshi Mori	2025-08-27T00:00:00.000+00:00	https://data.bioontology.org/users/hmori
IDEM	IDEM: wInD Energy Models Taxonomy	Controlled vocabularies such as taxonomies allow an accurate and controlled approach in describing datasets. One of such controlled vocabulary is Wind Energy Taxonomy of Models. This taxonomy is the result of EERA JP WIND IRPWind Open Data initiative that took place in 2017 in which wind energy experts generated the first version of the taxonomy as an input for defining and structuring wind energy metadata.\r\n\r\nThe report of this work is available at Zenodo: https://www.zenodo.org/record/1199489#.XSD6haeQ3RY\r\n\r\nIn 2018, the taxonomy of topics was improved during the internal project of DTU Wind Energy titled 'FAIR Digitalization': https://www.zenodo.org/record/1493874#.XSD7TaeQ3RY\r\n\r\nIn 2021, the taxonomy was converted into FAIR machine-actionable controlled vocabulary using sheet2rdf. The controlled vocabulary is served to humans and machines using an instace of OntoStack hosted by DTU Wind Energy. sheet2rdf and OntoStack are developed by FAIR Data Collective.\r\n\r\nAdditionally, in 2021, the persistent URL purl.org/idem has been registered for the taxonomy. This allows us to:\r\n\r\nIf there is a needed to move the taxonomy to another domain (currently under data.windenergy.dtu.dk) URLs will be still resolvable and unchanged\r\nUse short URls as PIDs for the taxonomy terms and properties.	https://github.com/DTUWindEnergy/IDEM-taxonomy	Nikola Vasiljevic	2021-10-05T00:00:00.000+00:00	https://data.bioontology.org/users/niva
DILON	Dietary lifestyle ontology	DILON was created to represent dietary lifestyle data.  Concepts were pulled from Korean dietary assessment scales and English assessment scales. Concepts are labeled in English and Korean translations are also provided.		Hyeoneui Kim	2021-11-02T00:00:00.000+00:00	https://data.bioontology.org/users/Sunbee70
FMPM	Food Matrix for Predictive Microbiology	Food matrix ontology for predictive microbiology.		Salvador Cubero González	2018-07-26T00:00:00.000+00:00	https://data.bioontology.org/users/maccid;https://data.bioontology.org/users/scuberog
EDAM	EDAM - The data analysis and management ontology	EDAM is a domain ontology of data analysis and data management in bio- and other sciences, and science-based applications. It comprises concepts related to analysis, modelling, optimisation, and data life cycle. Targetting usability by diverse users, the structure of EDAM is relatively simple, divided into 4 main sections: Topic, Operation, Data (incl. Identifier), and Format.\r\n\r\nEDAM is particularly suitable for semantic annotations and categorisation of diverse resources related to data analysis and management: e.g. tools, workflows, learning materials, or standards. EDAM is also useful in data management itself, for recording provenance metadata of processed data.\r\n\r\nAs a reference article (citation), please use https://doi.org/10.7490/f1000research.1118900.1	http://edamontology.org	GitHub repository	2024-09-24T00:00:00.000+00:00	https://data.bioontology.org/users/mkalas;https://data.bioontology.org/users/hmenager
IXNO	Interaction Ontology	The Interaction ontology (IxnO) was developed to enable curation of chemical-gene and chemical-protein interactions for the Comparative Toxicogenomics Database (CTD). CTD is a freely available resource that aims to promote understanding and novel hypothesis development about the effects of the environment on human health.	http://ctd.mdibl.org	Carolyn Mattingly	2011-01-25T00:00:00.000-08:00	https://data.bioontology.org/users/cmattin
PATCT	Placental Cell Type	Cell types associated with placental structure and function. This Cell Type ontology builds on the Cell Ontology (CL) as well as the BRENDA Tissue and Enzyme Source Ontology (BTO) and was further developed by PAT External Scientific Panel Members and contributions from other subject matter experts.		PATUserSupport	2020-01-13T00:00:00.000+00:00	https://data.bioontology.org/users/PATUserSupport
GML	Ontology for Geography Markup Language (GML3.0)	The Geography Markup Language (GML) is an RDF encoding for the transport and storage of geographic information, including both the geometry and properties of geographic features. Vocabulary terms are declared using OWL language to support RDF applications.		Kim Durante	2017-08-06T00:00:00.000+00:00	https://data.bioontology.org/users/kdurante
HIV	HIV ontology	The HIV ontology encompasses all knowledge about HIV		Martin Schiller	2017-04-04T00:00:00.000+00:00	https://data.bioontology.org/users/Biotoolkit
DSIP1V	DSIP1_vocabulary	This is vocabularies for the DSIP Group 1 FieldLabs		Chih-Chieh Chang	2023-10-29T00:00:00.000+00:00	https://data.bioontology.org/users/thealexchang;https://data.bioontology.org/users/ZYL
OBCS	Ontology of Biological and Clinical Statistics	The Ontology of Biological and Clinical Statistics (OBCS) is a biomedical ontology in the domain of biological and clinical statistics. OBCS is primarily targeted for statistical representation in the fields in biological, biomedical, and clinical domains.\r\n\r\nOBCS uses the Basic Formal Ontology (BFO) as the upper level ontology. OBCS imports all biostatistics related terms in the Ontology for Biomedical Investigations (OBI) including all logical axioms.	https://github.com/obcs/obcs	Jie Zheng	2023-12-21T18:12:19.000-08:00	https://data.bioontology.org/users/yongqunh%40med.umich.edu;https://data.bioontology.org/users/jzheng
suicideo	suicideonto	ontology for suicidology 		alexander garcia	2013-08-26T00:00:00.000-07:00	https://data.bioontology.org/users/alexgarciac
SMASH	SMASH Ontology	The SMASH (Semantic Mining of Activity, Social, and Health data) system ontology describes concepts used in describing the semantic features of healthcare data and social networks. The SMASH system primarily addresses the research topic of sustained weight loss with continued intervention with frequent social contacts.		Hao Wang	2015-06-02T18:14:47.000-07:00	https://data.bioontology.org/users/ddjncbo;https://data.bioontology.org/users/csehao
MRO	Defen	It is an ontology for Military concepts		Sarika Jain	2017-04-10T00:00:00.000+00:00	https://data.bioontology.org/users/sanju_2017
BAO	BioAssay Ontology	The BioAssay Ontology (BAO) describes chemical biology screening assays and their results including high-throughput screening (HTS) data for the purpose of categorizing assays and data analysis.  BAO is an extensible, knowledge-based, highly expressive (currently SHOIQ(D)) description of biological assays making use of descriptive logic based features of the Web Ontology Language (OWL).  BAO currently has over 1000 classes and also makes use of several other ontologies.  It describes several concepts related to biological screening, including Perturbagen, Format, Meta Target, Design,  Detection Technology, and Endpoint.  Perturbagens are perturbing agents that are screened in an assay; they are mostly small molecules. Assay Meta Target describes what is known about the biological system and / or its components interrogated in the assay (and influenced by the Perturbagen).  Meta target can be directly described as a molecular entity (e.g. a purified protein or a protein complex), or indirectly by a biological process or event (e.g. phosphorylation).  Format describes the biological or chemical features common to each test condition in the assay and includes biochemical, cell-based, organism-based, and variations thereof.  The assay Design describes the assay methodology and implementation of how the perturbation of the biological system is translated into a detectable signal.  Detection Technology relates to the physical method and technical details to detect and record a signal.  Endpoints are the final HTS results as they are usually published (such as IC50, percent inhibition, etc.).  BAO has been designed to accommodate multiplexed assays.  All main BAO components include multiple levels of sub-categories and specification classes, which are linked via object property relationships forming an expressive knowledge-based representation.		Caty Chung	2025-10-07T18:00:19.000-07:00	https://data.bioontology.org/users/sschurer
GVO	Genome Variation Ontology	The Genome Variation Ontology (GVO) is an ontology for the systematic description of various genomic variations, including complex structural variations in genomes.	http://genome-variation.org/resource/gvo	Takatomo Fujisawa	2022-09-08T00:00:00.000+00:00	https://data.bioontology.org/users/skwsm
NIFCELL	Neuroscience Information Framework (NIF) Cell Ontology	Cell types from NIFSTD	http://neuinfo.org/	Fahim Imam	2017-10-10T00:00:00.000+00:00	https://data.bioontology.org/users/smtifahim%40gmail.com
IBD	Indian Biodiversity Ontology	Indian Biodiversity Ontology contains the semantic information about the domain of Indian Biodiversity 		Archana PATEL	2021-06-04T00:00:00.000+00:00	https://data.bioontology.org/users/archana+patel
ISO19115DTC	ISO 19115 Date Type Code	ISO 19115 Date Type Codes		Kim Durante	2017-07-17T00:00:00.000+00:00	https://data.bioontology.org/users/kdurante
ONL-MR-DA	Magnetic Resonance Dataset Acquisition Ontology	This ontology is a module of the OntoNeuroLOG ontology, developed in the context of the NeuroLOG project, a french project supported by ANR (ANR-06-TLOG-024 grant) aiming at integrating distributed heterogeneous resources in neuroimaging.\r\nIf covers the domain of Magnetic Resonance Imaging (MRI) dataset acquisition, i.e. MRI protocols, and MRI sequence parameters. In particular, it includes a multi-axial classification of MR sequences.	http://neurolog.unice.fr/ontoneurolog/v3.0/Documentation_OntoNeuroLOGv3.pdf	Bernard Gibaud	2013-07-10T00:00:00.000-07:00	https://data.bioontology.org/users/bgibaud
MISO	Microbial Isolation Source Ontology	This ontology aims to classify and tag microbial isolation sources, which are often only provided as free-text commentaries, to improve their accessibility and usability.		Julia Koblitz	2025-06-16T18:09:06.000-07:00	https://data.bioontology.org/users/JKoblitz
CTENO	Ctenophore Ontology	An anatomical and developmental ontology for ctenophores (Comb Jellies)	https://github.com/obophenotype/ctenophore-ontology	Chris Mungall	2016-10-19T00:00:00.000+00:00	https://data.bioontology.org/users/vendetti
MSR	Mammography screening recommendation	This is an ontology that represents a variety of entities and classifications that share the knowledge of the recommendations provided by the guideline from the American Cancer Society on Breast Cancer Screening for Women at Average Risk.\r\n\r\nThis ontology was developed as part of an ontology course on UdelaR Univeristy. Mentored by Regina Motz and Edelweis Rohrer		Yasmine Anchén	2022-12-04T00:00:00.000+00:00	https://data.bioontology.org/users/cindy-a
BIPOM	Biological interlocked Process Ontology for metabolism	BiPOm is an ontology based on systemic representation of metabolic processes. BiPOm is an ontological model carrying the main biological processes and molecular roles/functions at a high level of genericity where the usual annotated resources are treated as instances.\r\nBiPOm, 1) contains biological knowledge as instances and 2) uses automatic reasoning through Semantic Web Rule Language (SWRL) in order to automatically infer, formalize and refine properties of molecules.		Anne Goelzer	2020-04-15T00:00:00.000+00:00	https://data.bioontology.org/users/VJHenry
LOINC	Logical Observation Identifier Names and Codes	Logical Observation Identifier Names and Codes (LOINC) provides formal names and standardized codes for laboratory and other clinical observations. The data cover laboratory terminology, vital signs, hemodynamics intake/output, EKG, obstetric ultrasound, cardiac echo, urologic, imaging, gastroendoscopic procedures, pulmonary ventilator management, and selected survey instruments.	http://loinc.org/downloads	LOINC Support	2024-11-04T00:00:00.000+00:00	https://data.bioontology.org/users/admin
ENTITY	ISO-15926-2_2003_entityMembership	Entity Membership		Nitin	2016-01-08T00:00:00.000+00:00	https://data.bioontology.org/users/Sun+Pharma
RADLEX	Radiology Lexicon	RadLex OWL, as downloaded from BioPortal, includes a set of puns in order to facilitate browsing and display.  For the base RadLex ontology alone, without puns,  and release notes for the latest version, please see http://radlex.org/	https://www.rsna.org/practice-tools/data-tools-and-standards/radlex-radiology-lexicon	Radiological Society of North America	2020-11-25T00:00:00.000+00:00	https://data.bioontology.org/users/rboden
VIO	Vaccine Investigation Ontology	VIO is an VO-extended ontology with the aim to standardize the metadata types in various vaccine investigation studies.	https://github.com/vaccineontology/VIO	Yongqun He	2019-04-29T00:00:00.000+00:00	https://data.bioontology.org/users/yongqunh%40med.umich.edu;https://data.bioontology.org/users/e4ong1031
MCO4MCRE	Multiplex Classification Ontology for the MultiCaRe Experiment	Ontology used for one of the experiments from the Multiplex Classification Framework (paper under review). This ontology is based on the set of classes from the MultiCaRe dataset. The MultiCaRe dataset is a multimodal case report dataset containing medical images that were programmatically labeled based on the content of their captions (Nievas Offidani & Delrieux, 2024). Images may have more than one label, making this a multi-label classification task. For this experiment, we selected a subset of 31 classes, including “endoscopy”, “colonoscopy”, and “mri”. The original ontology is flat, and it does not contain any logical constraints among the classes. Data Article: Nievas Offidani, M. A., & Delrieux, C. A. (2024). Dataset of clinical cases, images, image labels and captions from open access case reports from PubMed Central (1990–2023). Data in Brief, 52, 110008. https://doi.org/10.1016/j.dib.2023.110008		Mauro Nievas Offidani	2024-09-07T00:00:00.000+00:00	https://data.bioontology.org/users/mauro.nievasoffidani
RDL	RDL	RDL		Nitin	2016-01-08T00:00:00.000+00:00	https://data.bioontology.org/users/Sun+Pharma
SURGICAL	Nurse Surgical	This is an ontology of a surgical nurse's process domain		Philip Shields	2015-09-24T00:00:00.000+00:00	https://data.bioontology.org/users/shielphi
RADXTT-MVREASONS	RADx Tiger Team Missing Value Reasons	These concepts define the different reasons values might be missing from the RADx data record. The concepts have been approved by the RADx Executive Committee to fill in fields that do not have a value in them. \r\n\r\nThe concepts in this vocabulary were developed by the RADx Missing Values Tiger Team. The protocols for managing these concepts in the RADx Data Hub environment are still being developed and will be improved and described as part of the RADx program.	https://github.com/bmir-radx/radx-missing-value-reasons	John Graybeal	2023-10-24T18:22:12.000-07:00	https://data.bioontology.org/users/mhorridge;https://data.bioontology.org/users/marcos.martinez;https://data.bioontology.org/users/matthewhorridge
OMCO	OligoMetastatic Cancer Ontology	The OligoMetastatic Cancer Ontology(OMCO) is a disease-specific ontology that characterizes the knowledge field of oligometastatic cancer.		Rongrong Wu	2025-03-03T00:00:00.000+00:00	https://data.bioontology.org/users/Alice
BPT	Biological Pathway Taxonomy	Biological Pathway Taxonomy (BPT) - hierarchical taxonomy of cellular and molecular mechanisms, metabolic reactions, and diseases that can be shown as signaling pathways. BPT was created manually based on the Elsevier Pathway Collection available for public usage.\r\n\r\n There are 3 types of entities in BPT – pathway, group, and folder of pathways and groups. \r\n Group is the list of genes and proteins associated with biological function and diseases. \r\n Pathway is an interactive model of molecular interactions in human and mammalian cells described in the literature. Each model was reconstructed based on facts published in peer-reviewed journals, with manually quality control.\r\n\r\n BPT pathway entity includes several properties such as link to the model in Pathway Studio software which allows reading supported sentences from published articles and additional information about members. A list of members for each model can be provided by request. Property “network” describes maps without logical causal relationships between members to distinguish them from actual models of molecular mechanisms (“signaling”).\r\n\r\n The index folder contains all pathways and groups sorted alphabetically.		Anastasia Nesterova	2022-03-29T00:00:00.000+00:00	https://data.bioontology.org/users/a.nesterova
CHO	ChemoOnto	ChemoOnto, an ontology to qualify the course of chemotherapies		Alice Rogier	2023-12-06T00:00:00.000+00:00	https://data.bioontology.org/users/AliceR;https://data.bioontology.org/users/coulet
BMT	Biomedical Topics	An ontology of biological and biomedical topics, created from merging the EDAM Topics sub-ontology with auxiliary topics that are out of scope of EDAM.		Jon Ison	2014-10-06T00:00:00.000+00:00	https://data.bioontology.org/users/jon
UPHENO	Combined Phenotype Ontology	Combined phenotype ontology, The Unified Phenotype Ontology (uPheno) is an ontology that integrates other species-specific phenotype ontologies.		Chris Mungall	2025-10-12T18:14:25.000-07:00	https://data.bioontology.org/users/vendetti
WEAVE	WEAVE: Wind Energy ActiVitiEs	\r\nControlled vocabularies such as taxonomies allow an accurate and controlled approach in describing datasets. One of such controlled vocabulary is Wind Energy Taxonomy of Activities. This taxonomy is the result of EERA JP WIND IRPWind Open Data initiative that took place in 2017 in which wind energy experts generated the first version of the taxonomy as an input for defining and structuring wind energy metadata.\r\n\r\nThe report of this work is available at Zenodo: https://www.zenodo.org/record/1199489#.XSD6haeQ3RY\r\n\r\nIn 2018, the taxonomy of topics was improved during the internal project of DTU Wind Energy titled 'FAIR Digitalization': https://www.zenodo.org/record/1493874#.XSD7TaeQ3RY\r\n\r\nIn 2021, the taxonomy was converted into FAIR machine-actionable controlled vocabulary using sheet2rdf. The controlled vocabulary is served to humans and machines using an instace of OntoStack hosted by DTU Wind Energy. sheet2rdf and OntoStack are developed by FAIR Data Collective.\r\n\r\nAdditionally, in 2021, the persistent URL purl.org/weave has been registered for the taxonomy. This allows us to:\r\n\r\nIf there is a needed to move the taxonomy to another domain (currently under data.windenergy.dtu.dk) URLs will be still resolvable and unchanged\r\nUse short URls as PIDs for the taxonomy terms and properties such as:\r\npurl.org/weave/Measurements	https://github.com/DTUWindEnergy/WEAVE-taxonomy#weave-wind-energy-activities	Nikola Vasiljevic	2023-05-23T18:29:52.000-07:00	https://data.bioontology.org/users/niva
PLANA	Planarian Anatomy and Developmental Stage Ontolgoy	Anatomy ontology for planaria and terms specific to the developmental stages of the planarian Schmidtea mediterranea.	https://github.com/obophenotype/planaria-ontology	Sofia Robb	2023-03-13T18:14:19.000-07:00	https://data.bioontology.org/users/smr
MNR	Material Natural Resource 	Natural Resource		Nitin	2016-01-08T00:00:00.000+00:00	https://data.bioontology.org/users/Sun+Pharma
ELIG	Eligibility Feature Hierarchy	We derived a set of 1,437 eligibility features that were organized into a feature hierarchy using 80 breast cancer trials. 		Mary Regina Boland	2013-05-07T00:00:00.000-07:00	https://data.bioontology.org/users/mab7036
VARIO	Variation Ontology	Variation Ontology, VariO, is an ontology for standardized, systematic description of effects, consequences and mechanisms of variations.\r\n\r\nOntology is unreachable as of 2024, but continues to be available on BioPortal as a retired ontology. 	http://variationontology.org	Mauno Vihinen	2020-09-04T00:00:00.000+00:00	https://data.bioontology.org/users/graybeal
PORO	Porifera Ontology	An ontology covering the anatomy of Porifera (sponges)		Bob Thacker	2021-11-08T18:11:03.000-08:00	https://data.bioontology.org/users/thackeruab
ASDPTO	Autism Spectrum Disorder Phenotype Ontology	Autism Spectrum Disorder Phenotype Ontology encapsulates the Autism Spectrum Disorder behavioral phenotype, informed by the standard ASD assessment instruments and the currently known characteristics of this disorder.\r\nhttp://www.ncbi.nlm.nih.gov/pubmed/24163114		Alexa T McCray	2014-01-21T00:00:00.000+00:00	https://data.bioontology.org/users/ptrevvett
SOY	Soy Ontology	Growth, trait and development ontology for soybean	http://soybase.org	Rex Nelson	2013-04-30T00:00:00.000+00:00	https://data.bioontology.org/users/maxglycine;https://data.bioontology.org/users/graybeal
CRO	Contributor Role Ontology	The Contributor Role Ontology (CRO) is an extension of the CASRAI Contributor Roles Taxonomy (CRediT).	https://github.com/data2health/contributor-role-ontology	Marijane White	2019-12-11T18:04:23.000-08:00	https://data.bioontology.org/users/marijane
LEGALAPA	legalapa	this is a test with the legal cluster of apa ontology		alexander garcia	2014-12-19T00:00:00.000+00:00	https://data.bioontology.org/users/APA;https://data.bioontology.org/users/alexgarciac
DEB	Devices, Experimental scaffolds and Biomaterials Ontology	An ontology developed to facilitate information curation in the area of medical devices, experimental scaffolds and biomaterials. The ontology was designed to complement existing medical vocabularies, with emphasis on material processing, structures and features associated with biomaterials and experimental scaffolds. It is used as part of an automated text mining pipeline which populates the database of Experimental Biomaterials and their Biological Effect (DEBBIE). \r\nDEBBIE is an EU Horizon 2020 funded project. For more information visit https://projectdebbie.github.io/ 	https://projectdebbie.github.io/	Osnat Hakimi	2021-06-02T00:00:00.000+00:00	https://data.bioontology.org/users/osnat.hakimi
APRO	Ancient Poet Resource Ontology	APRO（Ancient Poet Resource Ontology）是一个旨在系统性地组织和描述与中国古代诗人及其作品相关信息的本体。本体覆盖了古代诗人的生平、作品、历史背景和相关事件，以及与其作品相关的情感和风格特征。通过集成历史、文学和文化研究的元素，APRO提供了一个丰富的框架，用于分析和探索中国古代诗歌的丰富性和复杂性。\r\n\r\n主要特点和组件包括：\r\n\r\n人物类：包含古代诗人的基本信息，如姓名、字、号、出生和逝世日期，以及他们的主要成就和生平事件。\r\n作品类：详细描述了诗人的主要作品，包括作品名称、创作时间、体裁、主题和风格。\r\n事件类：记录了与诗人和其作品相关的重要历史事件。\r\n情感类：涵盖了作品中表达的情感倾向和风格特征。\r\n资源类：涉及与诗人及其作品相关的各类资源，如文献、研究文章和教育材料。\r\n时间和地点类：详细说明了诗人活动的时间和地点，以及作品的创作背景。\r\nAPRO本体适用于文学研究者、历史学家、教育工作者以及对中国古代诗歌感兴趣的人士，用于教学、学术研究和文化传承。本体的设计充分考虑了易用性和扩展性，支持跨领域的查询和分析。\r\n\r\nAPRO (Ancient Poet Resource Ontology) is an ontology designed to systematically organize and describe information related to ancient Chinese poets and their works. The ontology encompasses the life, works, historical context, and related events of ancient poets, as well as emotional and stylistic characteristics associated with their works. Integrating elements of historical, literary, and cultural studies, APRO provides a rich framework for analyzing and exploring the richness and complexity of ancient Chinese poetry.\r\n\r\nKey features and components include:\r\n\r\nPerson Class: Contains basic information about ancient poets, such as their names, courtesy names, art names, birth and death dates, major achievements, and life events.\r\nWork Class: Details the main works of the poets, including the name of the work, time of creation, genre, theme, and style.\r\nEvent Class: Records significant historical events related to the poets and their works.\r\nEmotion Class: Covers the emotional tendencies and stylistic features expressed in the works.\r\nResource Class: Pertains to various resources associated with the poets and their works, such as literature, research papers, and educational materials.\r\nTime and Place Class: Specifies the times and places of the poets' activities, as well as the background of the creation of their works.\r\nThe APRO ontology is suitable for literary researchers, historians, educators, and anyone interested in ancient Chinese poetry, for use in teaching, academic research, and cultural heritage preservation. The design of the ontology takes into account ease of use and extensibility, supporting cross-disciplinary queries and analysis.		Qiang Zhang	2023-12-15T00:00:00.000+00:00	https://data.bioontology.org/users/zhangqiang2020
ICPS	International Classification for Patient Safety	Ontology network about Patient Safety Incident. This work has been carried out by the Ontological Engineering Group, using sources from the University of Saint Etienne and the Australian Patient Safety Foundation, and supported by the World Health Organisation under the International Classification for Patient Safety programme.	http://www.oeg-upm.net/	Oscar Corcho	2010-06-28T00:00:00.000-07:00	https://data.bioontology.org/users/ocorcho
CABRO	Computer Assisted Brain Injury Rehabilitation Ontology	a web ontology for the semantic representation of the computer assisted brain trauma rehabilitation domain. This is a novel and emerging domain, since it employs the use of robotic devices, adaptation software and machine learning to facilitate interactive, adaptive and personalized rehabilitation care, patient monitoring and assisted living. 		Dimitrios Zikos	2013-03-01T00:00:00.000-08:00	https://data.bioontology.org/users/dimitriszikos
HELIFIT	HeLiFit-Ontology	This an ontology for healthcare.		Carlo Allocca	2022-12-13T00:00:00.000+00:00	https://data.bioontology.org/users/carloallocca
I2SV	Integration and Implementation Sciences Vocabulary	Terms used to describe research concepts, methods and processes for addressing complex societal and environmental problems, especially investigations involving integration across different disciplinary and stakeholder perspectives, as well as implementation of findings into policy and practice change. The terms were originally developed for the Integration and Implementation Insights blog (http://i2Insights.org).	https://i2insights.org/index/integration-and-implementation-sciences-vocabulary/	Gabriele Bammer	2021-04-14T00:00:00.000+00:00	https://data.bioontology.org/users/i2s
OCHV	Ontology of Consumer Health Vocabulary	A SKOS-encoded implementation of  the "Open Access, Collaborative Consumer Health Vocabulary Initiative" by the University of Utah (consumerhealthvocab.org and layhealthinformatics.com)		Tuan Amith	2016-01-21T00:00:00.000+00:00	https://data.bioontology.org/users/MFAmith;https://data.bioontology.org/users/taocui
GRO-CPD	Cereal Plant Development Ontology	A structured controlled vocabulary for describing cereal plant development and growth stages. Please note that this ontology has now been superseded by the Plant Ontology.\r\n	http://www.gramene.org/plant_ontology/	Plant Ontology Administrators	2007-08-24T00:00:00.000+00:00	https://data.bioontology.org/users/cooperl
NIFSUBCELL	Neuroscience Information Framework (NIF) Subcellular Ontology	http://ontology.neuinfo.org/NIF/BiomaterialEntities/NIF-Subcellular.owl		Tom Gillespie	2012-05-31T00:00:00.000+00:00	https://data.bioontology.org/users/smtifahim;https://data.bioontology.org/users/tgbugs;https://data.bioontology.org/users/graybeal
NMOSP	NeuroMorpho.Org species ontology	The species ontology of NeuroMorpho.Org was updated (OntoSearch v1.3) to map the new species and strains added in  NeuroMorpho.Org v6.3 release.	http://NeuroMorpho.Org	Sridevi Polavaram	2019-11-22T18:12:34.000-08:00	https://data.bioontology.org/users/NeuroMorpho.Org
FB-DV	Drosophila Development Ontology	A structured controlled vocabulary of the development of <i>Drosophila melanogaster</i>.	http://sourceforge.net/p/fbbtdv/wiki/Home/	Marta Costa	2025-10-16T18:09:07.000-07:00	https://data.bioontology.org/users/mmc46;https://data.bioontology.org/users/obo-anatomy%40lists.sourceforge.net
CHIRO	CHEBI Integrated Role Ontology	CHEBI provides a distinct role hierarchy. Chemicals in the structural hierarchy are connected via a 'has role' relation. CHIRO provides links from these roles to useful other classes in other ontologies. This will allow direct connection between chemical structures (small molecules, drugs) and what they do. This could be formalized using 'capable of', in the same way Uberon and the Cell Ontology link structures to processes.	https://github.com/obophenotype/chiro	Nicole Vasilevsky	2015-11-23T00:00:00.000+00:00	https://data.bioontology.org/users/vendetti
HAMIDEHSGH	Inherited Retinal Dystrophy	Inherited retinal dystrophy (IRD) as one of the rare ocular diseases encompasses different types of hereditary retinal degenerations appearing by involvement of the different layers of the posterior ocular segment. In respect of the importance of the classification systems regarding the recorded history of biologic and natural sciences, there is no classification regarding the IRD diagnoses. Therefore, we aimed to present a novel classification in this regard.		Hamideh Sabbaghi	2019-07-10T00:00:00.000+00:00	https://data.bioontology.org/users/Sabbaghi.opt%40gmail.com
