metpo_id	metpo_label	xref_iris	xref_labels	mapping_types	distances	ontologies
METPO:1000608	facultatively aerobic	['http://purl.obolibrary.org/obo/MICRO_0000503', 'http://purl.obolibrary.org/obo/MICRO_0001520', '<http://doi.org/10.1601/FacultativeAnaerobe>', '<http://purl.jp/bio/10/mpo#MPO_04007>', '<http://purl.jp/bio/10/mpo#MPO_04005>', 'http://purl.obolibrary.org/obo/MICRO_0001527', 'http://purl.obolibrary.org/obo/MICRO_0000516', 'http://purl.obolibrary.org/obo/MICRO_0000504', 'http://purl.obolibrary.org/obo/ECOCORE_00000177', 'http://purl.obolibrary.org/obo/MICRO_0001376', 'http://purl.obolibrary.org/obo/MICRO_0001557']	['facultatively anaerobic', 'facultative anaerobe', 'Facultative anaerobe', 'Facultative anaerobe', 'Facultative aerobe', 'facultative anaerobiosis', 'obligately aerobic', 'obligately anaerobic', 'facultative anaerobe', 'facultative thermophile', 'facultative acidophile']	['skos:relatedMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.2669, 0.3083, 0.3937, 0.3938, 0.4153, 0.4759, 0.4821, 0.5675, 0.5806, 0.5885, 0.5953]	['MICRO', 'MICRO', 'DOI', 'UNKNOWN', 'UNKNOWN', 'MICRO', 'MICRO', 'MICRO', 'ECOCORE', 'MICRO', 'MICRO']
METPO:1000609	aerotolerant	['http://purl.obolibrary.org/obo/MICRO_0000502', '<http://purl.jp/bio/10/mpo#MPO_04008>', 'http://purl.obolibrary.org/obo/MICRO_0001416', '<http://doi.org/10.1601/AerotolerantAnaerobe>', 'http://purl.obolibrary.org/obo/MICRO_0001529', 'http://purl.obolibrary.org/obo/ECOCORE_00000181']	['aerotolerant', 'Aerotolerant organism', 'aerotolerant prokaryote', 'Aerotolerant anaerobe', 'aerotolerance', 'aerotolerant anaerobe']	['skos:exactMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.3043, 0.3046, 0.3613, 0.3804, 0.4291]	['MICRO', 'UNKNOWN', 'MICRO', 'DOI', 'MICRO', 'ECOCORE']
METPO:1000610	microaerotolerant	['http://purl.obolibrary.org/obo/MICRO_0000515', '<http://doi.org/10.1601/Microaerophilic>', 'http://purl.obolibrary.org/obo/MICRO_0001515', '<http://purl.jp/bio/10/mpo#MPO_04009>', '<http://doi.org/10.1601/AerotolerantAnaerobe>', '<http://doi.org/10.1601/Microaerobic>', 'http://purl.obolibrary.org/obo/MICRO_0000502', 'http://purl.obolibrary.org/obo/MICRO_0001416', 'http://purl.obolibrary.org/obo/ECOCORE_00000181', '<http://purl.jp/bio/10/mpo#MPO_04023>', 'http://purl.obolibrary.org/obo/ECOCORE_00000180', '<http://purl.jp/bio/10/mpo#MPO_04008>', 'http://purl.obolibrary.org/obo/MICRO_0001533']	['microaerophilic', 'Microaerophilic', 'microaerobe', 'Microaerophile', 'Aerotolerant anaerobe', 'Microaerobic', 'aerotolerant', 'aerotolerant prokaryote', 'aerotolerant anaerobe', 'Microanaerobe', 'microaerophile', 'Aerotolerant organism', 'microaerobiosis']	['skos:relatedMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.3184, 0.3407, 0.3516, 0.4425, 0.4565, 0.4632, 0.5167, 0.5353, 0.5363, 0.5597, 0.572, 0.5772, 0.5969]	['MICRO', 'DOI', 'MICRO', 'UNKNOWN', 'DOI', 'DOI', 'MICRO', 'MICRO', 'ECOCORE', 'UNKNOWN', 'ECOCORE', 'UNKNOWN', 'MICRO']
METPO:1000611	strictly anaerobic	['<http://doi.org/10.1601/StrictAnaerobe>', 'http://purl.obolibrary.org/obo/MICRO_0000504', 'http://purl.obolibrary.org/obo/MICRO_0000495', '<http://doi.org/10.1601/StrictAerobe>', '<http://purl.jp/bio/10/mpo#MPO_04006>', '<http://doi.org/10.1601/Microaerobic>', 'http://purl.obolibrary.org/obo/MICRO_0001530', '<https://mdatahub.org/data/meo/MEO_0000404>', '<http://purl.jp/bio/10/mpo#MPO_04003>', '<http://doi.org/10.1601/Anaerobe>', 'http://purl.obolibrary.org/obo/MICRO_0001520']	['Strict anaerobe', 'obligately anaerobic', 'anaerobic', 'Strict aerobe', 'Obligate anaerobe', 'Microaerobic', 'obligate anaerobiosis', 'anaerobic environment', 'Anaerobe', 'Anaerobe', 'facultative anaerobe']	['skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.3199, 0.3502, 0.3851, 0.4788, 0.4952, 0.5209, 0.5361, 0.5375, 0.5621, 0.5621, 0.5826]	['DOI', 'MICRO', 'MICRO', 'DOI', 'UNKNOWN', 'DOI', 'MICRO', 'MEO', 'UNKNOWN', 'DOI', 'MICRO']
METPO:1000612	facultative oxygen preference	['http://purl.obolibrary.org/obo/MICRO_0001527', 'http://purl.obolibrary.org/obo/MICRO_0001520', '<http://purl.jp/bio/10/mpo#MPO_04005>']	['facultative anaerobiosis', 'facultative anaerobe', 'Facultative aerobe']	['skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.5263, 0.5378, 0.5754]	['MICRO', 'MICRO', 'UNKNOWN']
METPO:1000614	psychrophilic	['http://purl.obolibrary.org/obo/MICRO_0001306', '<https://purl.dsmz.de/schema/MISO_7_54>', '<http://doi.org/10.1601/Psychrophile>', 'http://purl.obolibrary.org/obo/MICRO_0001449', 'http://purl.obolibrary.org/obo/MICRO_0001307', '<http://purl.obolibrary.org/obo/OMP_0005007>', 'http://purl.obolibrary.org/obo/OMP_0005007', '<http://purl.jp/bio/10/mpo#MPO_03003>', 'http://purl.obolibrary.org/obo/WBPhenotype_0000997', 'http://purl.obolibrary.org/obo/WBPhenotype_0000998', 'http://purl.obolibrary.org/obo/MICRO_0000118', 'http://purl.obolibrary.org/obo/MICRO_0000111', 'http://purl.obolibrary.org/obo/MICRO_0001417', 'http://purl.obolibrary.org/obo/MICRO_0001536', '<http://doi.org/10.1601/ExtremePsychrophile>', 'http://purl.obolibrary.org/obo/MICRO_0001294']	['psychrophilic', 'Psychrophil', 'Psychrophile', 'psychrophile', 'obligately psychrophilic', 'psychrophile', 'psychrophile', 'Psychrophilic', 'cryophilic', 'thermophilic', 'thermophilic', 'mesophilic', 'facultative psychrophile', 'obligate psychrophile', 'Extreme psychrophile', 'hyperthermophilic']	['skos:exactMatch', 'skos:closeMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.2103, 0.2608, 0.2608, 0.4002, 0.4231, 0.4233, 0.4399, 0.4582, 0.4852, 0.4853, 0.5144, 0.5465, 0.5495, 0.577, 0.5968]	['MICRO', 'D3O', 'DOI', 'MICRO', 'MICRO', 'OMP', 'OMP', 'UNKNOWN', 'UNKNOWN', 'UNKNOWN', 'MICRO', 'MICRO', 'MICRO', 'MICRO', 'DOI', 'MICRO']
METPO:1000615	mesophilic	['http://purl.obolibrary.org/obo/MICRO_0000111', '<http://doi.org/10.1601/Mesophile>', 'http://purl.obolibrary.org/obo/MICRO_0001320', 'http://purl.obolibrary.org/obo/WBPhenotype_0000998', 'http://purl.obolibrary.org/obo/MICRO_0000118', 'http://purl.obolibrary.org/obo/MICRO_0001437', 'http://purl.obolibrary.org/obo/MICRO_0001306', '<http://purl.jp/bio/10/mpo#MPO_03022>', '<https://mdatahub.org/data/meo/MEO_0002014>']	['mesophilic', 'Mesophile', 'obligately mesophilic', 'thermophilic', 'thermophilic', 'mesophile', 'psychrophilic', 'Mesophilic', 'mesophilic sediment']	['skos:exactMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.421, 0.451, 0.4765, 0.4766, 0.489, 0.5147, 0.5252, 0.5681]	['MICRO', 'DOI', 'MICRO', 'UNKNOWN', 'MICRO', 'MICRO', 'MICRO', 'UNKNOWN', 'MEO']
METPO:1000616	thermophilic	['http://purl.obolibrary.org/obo/MICRO_0000118', 'http://purl.obolibrary.org/obo/WBPhenotype_0000998', 'http://purl.obolibrary.org/obo/MICRO_0001294', 'http://purl.obolibrary.org/obo/MICRO_0001537', '<https://purl.dsmz.de/schema/MISO_7_57>', 'http://purl.obolibrary.org/obo/MICRO_0001287', '<http://doi.org/10.1601/Thermophile>', 'http://purl.obolibrary.org/obo/MICRO_0001538', '<http://doi.org/10.1601/Hyperthermophile>', 'http://purl.obolibrary.org/obo/MICRO_0001305', 'http://purl.obolibrary.org/obo/MICRO_0001314', 'http://purl.obolibrary.org/obo/MICRO_0000111', 'http://purl.obolibrary.org/obo/MICRO_0001306', 'http://purl.obolibrary.org/obo/MICRO_0001286', 'http://purl.obolibrary.org/obo/MICRO_0001539', '<http://purl.jp/bio/10/mpo#MPO_03001>', '<http://purl.jp/bio/10/mpo#MPO_03020>', '<http://doi.org/10.1601/Thermotolerant>', 'http://purl.obolibrary.org/obo/MICRO_0001376', '<http://purl.jp/bio/10/mpo#MPO_03004>']	['thermophilic', 'thermophilic', 'hyperthermophilic', 'thermophile', 'Thermophilic (>45°C)', 'obligately thermophilic', 'Thermophile', 'hyperthermophile', 'Hyperthermophile', 'obligately hyperthermophilic', 'halophilic', 'mesophilic', 'psychrophilic', 'thermotolerant', 'obligate thermophile', 'Thermophilic', 'Thermotolerant', 'Thermotolerant', 'facultative thermophile', 'Obligate thermophilic']	['skos:exactMatch', 'skos:exactMatch', 'skos:closeMatch', 'skos:closeMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.0, 0.208, 0.2437, 0.3081, 0.3378, 0.3452, 0.359, 0.3818, 0.4323, 0.4726, 0.4765, 0.4854, 0.4949, 0.5008, 0.5028, 0.506, 0.506, 0.5256, 0.5446]	['MICRO', 'UNKNOWN', 'MICRO', 'MICRO', 'D3O', 'MICRO', 'DOI', 'MICRO', 'DOI', 'MICRO', 'MICRO', 'MICRO', 'MICRO', 'MICRO', 'MICRO', 'UNKNOWN', 'UNKNOWN', 'DOI', 'MICRO', 'UNKNOWN']
METPO:1000617	hyperthermophilic	['http://purl.obolibrary.org/obo/MICRO_0001294', 'http://purl.obolibrary.org/obo/MICRO_0001538', 'http://purl.obolibrary.org/obo/WBPhenotype_0000998', 'http://purl.obolibrary.org/obo/MICRO_0000118', '<http://doi.org/10.1601/Hyperthermophile>', 'http://purl.obolibrary.org/obo/MICRO_0001305', 'http://purl.obolibrary.org/obo/MICRO_0001537', 'http://purl.obolibrary.org/obo/MICRO_0001287', '<https://purl.dsmz.de/schema/MISO_7_57>', '<http://doi.org/10.1601/Thermophile>', 'http://purl.obolibrary.org/obo/MICRO_0001540', '<https://mdatahub.org/data/meo/MEO_0002015>', '<http://purl.jp/bio/10/mpo#MPO_03002>', '<http://purl.obolibrary.org/obo/OMP_0005003>', 'http://purl.obolibrary.org/obo/OMP_0005003', 'http://purl.obolibrary.org/obo/MICRO_0001314', 'http://purl.obolibrary.org/obo/MICRO_0001539', 'http://purl.obolibrary.org/obo/MICRO_0001376', '<http://purl.jp/bio/10/mpo#MPO_03020>', '<http://doi.org/10.1601/Thermotolerant>']	['hyperthermophilic', 'hyperthermophile', 'thermophilic', 'thermophilic', 'Hyperthermophile', 'obligately hyperthermophilic', 'thermophile', 'obligately thermophilic', 'Thermophilic (>45°C)', 'Thermophile', 'obligate hyperthermophile', 'hyperthermophilic sediment', 'Hyperthermophilic', 'hyperthermophile', 'hyperthermophile', 'halophilic', 'obligate thermophile', 'facultative thermophile', 'Thermotolerant', 'Thermotolerant']	['skos:exactMatch', 'skos:closeMatch', 'skos:closeMatch', 'skos:closeMatch', 'skos:closeMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.133, 0.208, 0.2081, 0.2089, 0.3263, 0.346, 0.4042, 0.4159, 0.4482, 0.4683, 0.4733, 0.5142, 0.5184, 0.5185, 0.5383, 0.5436, 0.5698, 0.578, 0.578]	['MICRO', 'MICRO', 'UNKNOWN', 'MICRO', 'DOI', 'MICRO', 'MICRO', 'MICRO', 'D3O', 'DOI', 'MICRO', 'MEO', 'UNKNOWN', 'OMP', 'OMP', 'MICRO', 'MICRO', 'MICRO', 'UNKNOWN', 'DOI']
METPO:1000618	psychrotolerant	['http://purl.obolibrary.org/obo/MICRO_0001310', '<http://purl.jp/bio/10/mpo#MPO_03021>', '<http://doi.org/10.1601/Psychrotolerant>']	['psychrotolerant', 'Psychrotolerant', 'Psychrotolerant']	['skos:exactMatch', 'skos:closeMatch', 'skos:closeMatch']	[0.0, 0.1239, 0.1239]	['MICRO', 'UNKNOWN', 'DOI']
METPO:1000619	thermotolerant	['http://purl.obolibrary.org/obo/MICRO_0001286', '<http://purl.jp/bio/10/mpo#MPO_03020>', '<http://doi.org/10.1601/Thermotolerant>', 'http://purl.obolibrary.org/obo/APO_0000093', 'http://purl.obolibrary.org/obo/MICRO_0001537', 'http://purl.obolibrary.org/obo/WBPhenotype_0000998', 'http://purl.obolibrary.org/obo/MICRO_0000118', '<http://doi.org/10.1601/Thermophile>', 'http://purl.obolibrary.org/obo/APO_0000093', 'http://purl.obolibrary.org/obo/MICRO_0001316', 'http://purl.obolibrary.org/obo/MICRO_0001538', 'http://purl.obolibrary.org/obo/APO_0000333', '<http://doi.org/10.1601/Hyperthermophile>', 'http://purl.obolibrary.org/obo/MICRO_0001376', 'http://purl.obolibrary.org/obo/MICRO_0001294', 'http://purl.obolibrary.org/obo/NCBITaxon_2263']	['thermotolerant', 'Thermotolerant', 'Thermotolerant', 'thermotolerance', 'thermophile', 'thermophilic', 'thermophilic', 'Thermophile', 'thermotolerance', 'halotolerant', 'hyperthermophile', 'acquired thermotolerance', 'Hyperthermophile', 'facultative thermophile', 'hyperthermophilic', 'Thermococcus']	['skos:exactMatch', 'skos:closeMatch', 'skos:closeMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.204, 0.204, 0.2819, 0.4567, 0.4949, 0.4949, 0.5067, 0.5404, 0.5493, 0.5665, 0.5779, 0.5814, 0.5831, 0.5836, 0.5946]	['MICRO', 'UNKNOWN', 'DOI', 'APO', 'MICRO', 'UNKNOWN', 'MICRO', 'DOI', 'APO', 'MICRO', 'MICRO', 'APO', 'DOI', 'MICRO', 'MICRO', 'UNKNOWN']
METPO:1000620	halophilic	['http://purl.obolibrary.org/obo/MICRO_0001314', '<http://purl.jp/bio/10/mpo#MPO_03007>', 'http://purl.obolibrary.org/obo/MICRO_0001315', 'http://purl.obolibrary.org/obo/MICRO_0001367', 'http://purl.obolibrary.org/obo/MICRO_0000118', 'http://purl.obolibrary.org/obo/WBPhenotype_0000998', 'http://purl.obolibrary.org/obo/MICRO_0000485', 'http://purl.obolibrary.org/obo/MICRO_0001374', 'http://purl.obolibrary.org/obo/MICRO_0001294', 'http://purl.obolibrary.org/obo/MICRO_0001375', 'http://purl.obolibrary.org/obo/MICRO_0001305']	['halophilic', 'Halophilic', 'obligately halophilic', 'halophile', 'thermophilic', 'thermophilic', 'barophilic', 'obligate halophile', 'hyperthermophilic', 'facultative halophile', 'obligately hyperthermophilic']	['skos:exactMatch', 'skos:closeMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.1135, 0.3333, 0.3441, 0.4727, 0.4727, 0.502, 0.5223, 0.5384, 0.5647, 0.5664]	['MICRO', 'UNKNOWN', 'MICRO', 'MICRO', 'MICRO', 'UNKNOWN', 'MICRO', 'MICRO', 'MICRO', 'MICRO', 'MICRO']
METPO:1000621	haloalkaliphilic	['http://purl.obolibrary.org/obo/MICRO_0001547', 'http://purl.obolibrary.org/obo/MICRO_0001554', 'http://purl.obolibrary.org/obo/MICRO_0001394', 'http://purl.obolibrary.org/obo/MICRO_0001392', 'http://purl.obolibrary.org/obo/MICRO_0001565', 'http://purl.obolibrary.org/obo/MICRO_0001567', 'http://purl.obolibrary.org/obo/CHEBI_24469', 'http://purl.obolibrary.org/obo/MICRO_0001400', 'http://purl.obolibrary.org/obo/CHEBI_50491', '<http://doi.org/10.1601/Alkalophile>', 'http://purl.obolibrary.org/obo/MICRO_0001401', 'http://purl.obolibrary.org/obo/CHEBI_5610', 'http://purl.obolibrary.org/obo/MICRO_0001558']	['alkaliphilic', 'hyperalkaliphilic', 'alkaliphile', 'hyperalkaliphile', 'obligately alkaliphilic', 'obligately hyperalkaliphilic', 'haloalkane', 'obligate alkaliphile', 'haloalkyl group', 'Alkalophile', 'obligate hyperalkaliphile', 'haloalkene', 'facultative alkaliphile']	['skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.3502, 0.3748, 0.4291, 0.4596, 0.5212, 0.5388, 0.5539, 0.5687, 0.5718, 0.5754, 0.5818, 0.5865, 0.5975]	['MICRO', 'MICRO', 'MICRO', 'MICRO', 'MICRO', 'MICRO', 'CHEBI', 'MICRO', 'CHEBI', 'DOI', 'MICRO', 'CHEBI', 'MICRO']
METPO:1000622	halotolerant	['http://purl.obolibrary.org/obo/MICRO_0001316', '<http://purl.jp/bio/10/mpo#MPO_03008>', 'http://purl.obolibrary.org/obo/MICRO_0001286', 'http://purl.obolibrary.org/obo/MICRO_0001555', '<http://purl.jp/bio/10/mpo#MPO_03020>', '<http://doi.org/10.1601/Thermotolerant>']	['halotolerant', 'Halotolerant', 'thermotolerant', 'acidotolerant', 'Thermotolerant', 'Thermotolerant']	['skos:exactMatch', 'skos:closeMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.1709, 0.5493, 0.5566, 0.5876, 0.5876]	['MICRO', 'UNKNOWN', 'MICRO', 'MICRO', 'UNKNOWN', 'DOI']
METPO:1000623	moderately halophilic	['<http://purl.jp/bio/10/mpo#MPO_03007>', 'http://purl.obolibrary.org/obo/MICRO_0001314', 'http://purl.obolibrary.org/obo/MICRO_0001315', 'http://purl.obolibrary.org/obo/MICRO_0001375', 'http://purl.obolibrary.org/obo/MICRO_0001374']	['Halophilic', 'halophilic', 'obligately halophilic', 'facultative halophile', 'obligate halophile']	['skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.3993, 0.4151, 0.4252, 0.5099, 0.5735]	['UNKNOWN', 'MICRO', 'MICRO', 'MICRO', 'MICRO']
METPO:1000624	non halophilic	['http://purl.obolibrary.org/obo/MICRO_0001314', '<http://purl.jp/bio/10/mpo#MPO_03007>', 'http://purl.obolibrary.org/obo/MICRO_0001315', 'http://purl.obolibrary.org/obo/MICRO_0001375', 'http://purl.obolibrary.org/obo/MICRO_0001374', 'http://purl.obolibrary.org/obo/MICRO_0001367']	['halophilic', 'Halophilic', 'obligately halophilic', 'facultative halophile', 'obligate halophile', 'halophile']	['skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.2815, 0.2949, 0.3364, 0.4803, 0.4992, 0.5516]	['MICRO', 'UNKNOWN', 'MICRO', 'MICRO', 'MICRO', 'MICRO']
METPO:1000625	slightly halophilic	['http://purl.obolibrary.org/obo/MICRO_0001314', '<http://purl.jp/bio/10/mpo#MPO_03007>', 'http://purl.obolibrary.org/obo/MICRO_0001315', 'http://purl.obolibrary.org/obo/MICRO_0001375', 'http://purl.obolibrary.org/obo/MICRO_0001374']	['halophilic', 'Halophilic', 'obligately halophilic', 'facultative halophile', 'obligate halophile']	['skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.3565, 0.3594, 0.3924, 0.513, 0.5626]	['MICRO', 'UNKNOWN', 'MICRO', 'MICRO', 'MICRO']
METPO:1000627	euryhaline	['<http://purl.jp/bio/10/mpo#MPO_03024>']	['Euryhaline']	['skos:closeMatch']	[0.1101]	['UNKNOWN']
METPO:1000628	extremely halophilic	['<http://purl.jp/bio/10/mpo#MPO_03007>', 'http://purl.obolibrary.org/obo/MICRO_0001314', 'http://purl.obolibrary.org/obo/MICRO_0001315', 'http://purl.obolibrary.org/obo/MICRO_0001374', 'http://purl.obolibrary.org/obo/MICRO_0001294', 'http://purl.obolibrary.org/obo/MICRO_0001305', 'http://purl.obolibrary.org/obo/MICRO_0001375', 'http://purl.obolibrary.org/obo/MICRO_0001367']	['Halophilic', 'halophilic', 'obligately halophilic', 'obligate halophile', 'hyperthermophilic', 'obligately hyperthermophilic', 'facultative halophile', 'halophile']	['skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.3034, 0.3128, 0.3484, 0.566, 0.574, 0.5774, 0.5932, 0.5973]	['UNKNOWN', 'MICRO', 'MICRO', 'MICRO', 'MICRO', 'MICRO', 'MICRO', 'MICRO']
METPO:1000630	biological process	['https://w3id.org/biolink/vocab/BiologicalProcess', 'https://w3id.org/biolink/vocab/BiologicalProcessOrActivity', 'http://purl.obolibrary.org/obo/ExO_0000024', 'http://purl.obolibrary.org/obo/GO_0008150', 'http://purl.obolibrary.org/obo/FYPO_0000300', 'http://purl.obolibrary.org/obo/GO_0008150', 'http://purl.obolibrary.org/obo/OBA_0100002', 'http://purl.obolibrary.org/obo/GO_0008150', 'http://purl.obolibrary.org/obo/GO_0008150', 'http://purl.obolibrary.org/obo/GO_0008150', 'http://purl.obolibrary.org/obo/GO_0008150', 'http://purl.obolibrary.org/obo/GO_0008150', 'http://purl.obolibrary.org/obo/GO_0008150', 'http://purl.obolibrary.org/obo/GO_0008150', 'http://purl.obolibrary.org/obo/GO_0008150', 'http://purl.obolibrary.org/obo/GO_0050789', 'http://purl.obolibrary.org/obo/GO_0050789', 'http://purl.obolibrary.org/obo/GO_0008150', 'http://purl.obolibrary.org/obo/GO_0008150', 'http://purl.obolibrary.org/obo/GO_0008150']	['biological process', 'biological process or activity', 'biological process', 'biological_process', 'biological process phenotype', 'biological_process', 'biological process attribute', 'biological_process', 'biological_process', 'biological_process', 'biological_process', 'biological_process', 'biological_process', 'biological_process', 'biological_process', 'regulation of biological process', 'regulation of biological process', 'biological_process', 'biological_process', 'biological_process']	['skos:exactMatch', 'skos:closeMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.2341, 0.3426, 0.3701, 0.4058, 0.42, 0.4241, 0.4352, 0.4457, 0.4551, 0.4822, 0.484, 0.484, 0.484, 0.484, 0.4869, 0.4869, 0.4884, 0.4884, 0.4884]	['BIOLINK', 'BIOLINK', 'UNKNOWN', 'GO', 'FYPO', 'GO', 'OBA', 'GO', 'GO', 'GO', 'GO', 'GO', 'GO', 'GO', 'GO', 'GO', 'GO', 'GO', 'GO', 'GO']
METPO:1000632	autotrophic	['http://purl.obolibrary.org/obo/MICRO_0001456', 'http://purl.obolibrary.org/obo/MICRO_0001446', '<http://purl.jp/bio/10/mpo#MPO_04011>', 'http://purl.obolibrary.org/obo/MICRO_0001483', 'http://purl.obolibrary.org/obo/MICRO_0001486', 'http://purl.obolibrary.org/obo/MICRO_0001475']	['autotrophic', 'autotroph', 'Autotrophic', 'photolithoautotrophic', 'photoorganoautotrophic', 'mixotrophic']	['skos:exactMatch', 'skos:closeMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.2306, 0.3872, 0.5182, 0.5197, 0.5395]	['MICRO', 'MICRO', 'UNKNOWN', 'MICRO', 'MICRO', 'MICRO']
