ontologyId	id	title	description	homepage	version	numberOfTerms	numberOfProperties	numberOfIndividuals	status
ogg	ogg	OGG: Ontology of Genes and Genomes	OGG is a biological ontology in the area of genes and genomes. OGG uses the Basic Formal Ontology (BFO) as its upper level ontology. This OGG document contains the genes and genomes of a list of selected organisms, including human, two viruses (HIV and influenza virus), and bacteria (B. melitensis strain 16M, E. coli strain K-12 substrain MG1655, M. tuberculosis strain H37Rv, and P. aeruginosa strain PAO1). More OGG information for other organisms (e.g., mouse, zebrafish, fruit fly, yeast, etc.) may be found in other OGG subsets. 	https://bitbucket.org/hegroup/ogg	Vision Release: 1.0.59	69688	125	0	LOADED
ogms	ogms	Ontology for General Medical Science	The Ontology for General Medical Science (OGMS) is an ontology of entities involved in a clinical encounter. OGMS includes very general terms that are used across medical disciplines, including: 'disease', 'disorder', 'disease course', 'diagnosis', 'patient', and 'healthcare provider'. OGMS uses the Basic Formal Ontology (BFO) as an upper-level ontology. The scope of OGMS is restricted to humans, but many terms can be applied to a variety of organisms. OGMS provides a formal theory of disease that can be further elaborated by specific disease ontologies. This theory is implemented using OWL-DL and OBO Relation Ontology relations and is available in OWL and OBO formats.\n\nOGMS is based on the papers Toward an Ontological Treatment of Disease and Diagnosis and On Carcinomas and Other Pathological Entities. The ontology attempts to address some of the issues raised at the Workshop on Ontology of Diseases (Dallas, TX) and the Signs, Symptoms, and Findings Workshop(Milan, Italy). OGMS was formerly called the clinical phenotype ontology. Terms from OGMS hang from the Basic Formal Ontology.	https://github.com/OGMS/ogms	2021-08-19	186	59	18	LOADED
ohd	ohd	Oral Health and Disease Ontology	The Oral Health and Disease Ontology is used for representing the diagnosis and treatment of dental maladies.	https://purl.obolibrary.org/obo/ohd/home	2025-06-28	3173	236	97	LOADED
ohmi	ohmi	OHMI: Ontology of Host-Microbiome Interactions	OHMI is a biomedical ontology that represents the entities and relations in the domain of host-microbiome interactions.	https://github.com/ohmi-ontology/ohmi	2019-09-17	1025	207	12	LOADED
ohpi	ohpi	OHPI: Ontology of Host-Pathogen Interactions	OHPI is a biomedical ontology in the area of host-pathogen interactions. OHPI is developed by following the OBO Foundry Principles (e.g., openness and collaboration).	https://github.com/OHPI/ohpi		11291	516	295	LOADED
omit	omit	Ontology for MIRNA Target	Ontology to establish data exchange standards and common data elements in the microRNA (miR) domain	http://omit.cis.usouthal.edu/		90928	188	18	LOADED
omo	omo	OBO Metadata Ontology	An ontology specifies terms that are used to annotate ontology terms for all OBO ontologies. The ontology was developed as part of Information Artifact Ontology (IAO).	https://github.com/information-artifact-ontology/ontology-metadata	2025-06-18	27	77	20	LOADED
omp	omp	Ontology of Microbial Phenotypes	An ontology of phenotypes covering microbes	http://microbialphenotypes.org		2309	131	0	LOADED
omrse	omrse	Ontology for Modeling and Representation of Social Entities	The Ontology for Modeling and Representation of Social Entities (OMRSE) is an OBO Foundry ontology that represents the various entities that arise from human social interactions, such as social acts, social roles, social groups, and organizations.	https://github.com/mcwdsi/OMRSE/wiki/OMRSE-Overview	2025-08-13	652	295	478	LOADED
one	one	Ontology for Nutritional Epidemiology	An ontology to standardize research output of nutritional epidemiologic studies.	https://github.com/cyang0128/Nutritional-epidemiologic-ontologies		4100	318	326	LOADED
ons	ons	Ontology for Nutritional Studies	An ontology for description of concepts in the nutritional studies domain.	https://github.com/enpadasi/Ontology-for-Nutritional-Studies	2024-07-03	4735	125	69	LOADED
ontoavida	ontoavida	OntoAvida: ontology for Avida digital evolution platform.	The Ontology for Avida (OntoAvida) project aims to develop an integrated vocabulary for the description of the most widely used computational approach for performing experimental evolution using digital organisms (i.e., self-replicating computer programs that evolve within a user-defined computational environment).\n\nThe lack of a clearly defined vocabulary makes biologists feel reluctant to embrace the field of digital evolution. This unique ontology has the potential to change this picture overnight.\n\nOntoAvida was initially developed by https://fortunalab.org, the computational biology lab at the Doñana Biological Station (a research institute of the Spanish National Research Council based at Seville, Spain). Contributors to OntoAvida are expected to include members of the Digital Evolution Laboratory (https://devolab.org/) at Michigan State University (USA).\n\nMore information can be found at https://obofoundry.org/ontology/ontoavida.html	https://gitlab.com/fortunalab/ontoavida		674	58	0	LOADED
ontoneo	ontoneo	Obstetric and Neonatal Ontology	The Obstetric and Neonatal Ontology is a structured controlled vocabulary to provide a representation of the data from electronic health records (EHRs) involved in the care of the pregnant woman, and of her baby.	ontoneo.com	2.0	1420	613	142	LOADED
oostt	oostt	Ontology of Organizational Structures of Trauma centers and Trauma Systems	The Ontology of Organizational Structures of Trauma centers and Trauma systems (OOSTT) is a representation of the components of trauma centers and trauma systems coded in Web Ontology Language (OWL2).	https://github.com/OOSTT/OOSTT	release version - 2025-08-28	841	237	22	LOADED
opl	opl	Ontology for Parasite Lifecycle	The Ontology for Parasite Lifecycle (OPL) models the life cycle stage details of various parasites, including Trypanosoma sp., Leishmania major, and Plasmodium sp., etc. In addition to life cycle stages, the ontology also models necessary contextual details, such as host information, vector information, and anatomical location. OPL is based on the Basic Formal Ontology (BFO) and follows the rules set by the OBO Foundry consortium.	https://github.com/OPL-ontology/OPL	2023-08-28	560	121	20	LOADED
opmi	opmi	OPMI: Ontology of Precision Medicine and Investigation	OPMI is a biomedical ontology in the area of precision medicine and its related investigations. It is community-driven and developed by following the OBO Foundry ontology development principles.	https://github.com/OPMI/opmi	Vision Release: 1.0.166	3153	282	36	LOADED
ornaseq	ornaseq	Ontology for RNA sequencing (ORNASEQ)	An application ontology designed to annotate next-generation sequencing experiments performed on RNA.	http://kim.bio.upenn.edu/software/ornaseq.shtml		163	17	1	LOADED
ovae	ovae	OVAE: Ontology of Vaccine Adverse Events	OVAE is a biomedical ontology in the area of vaccine adverse events. OVAE is an extension of the community-based Ontology of Adverse Events (OAE). 	http://www.violinet.org/ovae/	Vision Release: 1.0.34	1554	247	22	LOADED
pato	pato	PATO - the Phenotype And Trait Ontology	An ontology of phenotypic qualities (properties, attributes or characteristics).	https://github.com/pato-ontology/pato/	2025-05-14	8625	356	0	LOADED
pcl	pcl	Provisional Cell Ontology	Cell types that are provisionally defined by experimental techniques such as single cell transcriptomics rather than a straightforward & coherent set of properties.	https://github.com/obophenotype/provisional_cell_ontology	2025-07-07	37210	576	9213	LOADED
pco	pco	Population and Community Ontology	The Population and Community Ontology (PCO) describes material entities, qualities, and processes related to collections of interacting organisms such as populations and communities. It is taxon neutral, and can be used for any species, including humans. The classes in the PCO are useful for describing evolutionary processes, organismal interactions, and ecological experiments. Practical applications of the PCO include community health care, plant pathology, behavioral studies, sociology, and ecology.	https://github.com/PopulationAndCommunityOntology/pco		220	197	18	LOADED
pdro	pdro	The Prescription of Drugs Ontology	An ontology to describe entities related to prescription of drugs	https://github.com/OpenLHS/PDRO	2021-06-08	310	93	0	LOADED
peco	peco	Plant Experimental Conditions Ontology	A structured, controlled vocabulary which describes the treatments, growing conditions, and/or study types used in plant biology experiments.	http://planteome.org/		3655	182	0	LOADED
phipo	phipo	Pathogen Host Interactions Phenotype Ontology	Ontology of species-neutral phenotypes observed in pathogen-host interactions.	https://github.com/PHI-base/phipo	2025-07-29	3818	300	57	LOADED
plana	plana	Planarian Anatomy Ontology (PLANA)	PLANA, the PLANarian Anatomy Ontology, encompasses the anatomy of developmental stages and adult biotypes of Schmidtea mediterranea.	https://github.com/obophenotype/planaria-ontology	2023-03-13	875	291	18	LOADED
planp	planp	Planarian Phenotype Ontology (PLANP)	Planarian Phenotype Ontology is an ontology of phenotypes observed in the planarian Schmidtea mediterranea.	https://github.com/obophenotype/planarian-phenotype-ontology		3560	324	19	LOADED
po	po	Plant Ontology	The Plant Ontology is a structured vocabulary and database resource that links plant anatomy, morphology and growth and development to plant genomics data.	http://browser.planteome.org/amigo		2027	203	9	LOADED
poro	poro	Porifera (sponge) ontology	An ontology describing the anatomical structures and characteristics of Porifera (sponges)	https://github.com/obophenotype/porifera-ontology		932	142	2	LOADED
ppo	ppo	Plant Phenology Ontology	An ontology for describing the phenology of individual plants and populations of plants, and for integrating plant phenological data across sources and scales.	https://github.com/PlantPhenoOntology/PPO	2025-06-16	544	66	0	LOADED
pr	pr	PRotein Ontology (PRO)	An ontological representation of protein-related entities	http://proconsortium.org		364336	56	0	LOADED
proco	proco	PROCO: PROcess Chemistry Ontology	PROCO (PROcess Chemistry Ontology) is a formal ontology that aims to standardly represent entities and relations among entities in the domain of process chemistry.	https://github.com/proco-ontology/PROCO	PROCO release 20220414	922	149	17	LOADED
psdo	psdo	Performance Summary Display Ontology	Performance Summary Display Ontology (PSDO) is an application ontology about motivating information in performance summaries and the visual and textual entities that are used to communicate about performance. Motivating information includes performance comparisons and changes that motivate improvement or sustainment, such as improvement towards a goal, loss of high performer status, or the presence of a performance gap. Visual and textual entities include charts, tables, and graphs that display performance information. PSDO's domain focus is healthcare organizations that use clinical quality dashboards and feedback interventions for healthcare professionals and teams. Performance information is commonly about the quality of care and health outcomes that have been derived from clinical data using performance measures (aka metrics, process indicators, quality measures, etc). PSDO uses Basic Formal Ontology as its upper level ontology. This work is supported by the NIH, National Library of Medicine (1K01LM012528-01, 1R01LM013894-01).\n\nLandis-Lewis Z, Stansbury C, Rincón J, Gross C. Performance Summary Display Ontology: Feedback intervention content, delivery, and interpreted information. International Conference on Biomedical Ontology 2022 (ICBO 2022). https://icbo-conference.github.io/icbo2022/papers/ICBO-2022_paper_2172.pdf	https://github.com/Display-Lab/psdo	1.0.1	1320	263	32	LOADED
pso	pso	Plant Stress Ontology	The Plant Stress Ontology describes biotic and abiotic stresses that a plant may encounter.	https://github.com/Planteome/plant-stress-ontology	2023-11-14	3932	238	9	LOADED
pw	pw	Pathway ontology	A controlled vocabulary for annotating gene products to pathways.	http://rgd.mcw.edu/rgdweb/ontology/search.html		2760	21	0	LOADED
rbo	rbo	Radiation Biology Ontology	RBO is an ontology for the effects of radiation on biota in terrestrial and space environments.	https://github.com/Radiobiology-Informatics-Consortium/RBO	2025-09-17	9196	574	1008	LOADED
ro	ro	Relation Ontology	Relationship types shared across multiple ontologies	https://oborel.github.io/	2025-06-24	56	815	97	LOADED
rs	rs	Rat Strain Ontology	Ontology of rat strains	http://rgd.mcw.edu/rgdweb/search/strains.html		5462	22	0	LOADED
rxno	rxno	RXNO	RXNO is the name reaction ontology. It contains more than 500 classes representing organic reactions such as the Diels–Alder cyclization.	https://github.com/rsc-ontologies/rxno		1019	49	0	LOADED
sepio	sepio	Ontology for Scientific Evidence and Provenance Information	An ontology for representing the provenance of scientific claims and the evidence that supports them.	https://github.com/monarch-initiative/SEPIO-ontology	2023-06-13	125	313	21	LOADED
slso	slso	Space Life Sciences Ontology	The Space Life Sciences Ontology is an application ontology and is intended to support the operation of NASA's Life Sciences Data Archive and other systems that contain space life science research data.	https://github.com/nasa/LSDAO	2025-09-16	3962	934	977	LOADED
so	so	Sequence types and features ontology	A structured controlled vocabulary for sequence annotation, for the exchange of annotation data and for the description of sequence objects in databases.	http://www.sequenceontology.org/		2747	92	0	LOADED
spd	spd	Spider Ontology	An ontology for spider comparative biology including anatomical parts (e.g. leg, claw), behavior (e.g. courtship, combing) and products (i.g. silk, web, borrow).	http://research.amnh.org/atol/files/		832	20	0	LOADED
stato	stato	STATO: the statistical methods ontology	STATO is the statistical methods ontology. It contains concepts and properties related to statistical methods, probability distributions and other concepts related to statistical analysis, including relationships to study designs and plots.	http://stato-ontology.org/	2025-02-23	1003	108	9	LOADED
swo	swo	Software ontology	The Software Ontology (SWO) is a resource for describing software tools, their types, tasks, versions, provenance and associated data. It contains detailed information on licensing and formats as well as software applications themselves, mainly (but not limited) to the bioinformatics community.	https://github.com/allysonlister/swo	2023-03-05	1971	240	446	LOADED
symp	symp	Symptom Ontology	The Symptom Ontology has been developed as a standardized ontology for symptoms of human diseases.	https://github.com/DiseaseOntology/SymptomOntology	2024-05-17	1019	23	0	LOADED
t4fs	t4fs	terms4FAIRskills	A terminology for the skills necessary to make data FAIR and to keep it FAIR.	https://github.com/terms4fairskills/FAIRterminology	2025-02-09	563	62	18	LOADED
taxrank	taxrank	Taxonomic rank vocabulary	A vocabulary of taxonomic ranks (species, family, phylum, etc)	https://github.com/phenoscape/taxrank		77	15	0	LOADED
to	to	Plant Trait Ontology	A controlled vocabulary to describe phenotypic traits in plants.	http://browser.planteome.org/amigo		6858	470	9	LOADED
trans	trans	Pathogen Transmission Ontology	The Pathogen Transmission Ontology describes the tranmission methods of human disease pathogens describing how a pathogen is transmitted from one host, reservoir, or source to another host. The pathogen transmission may occur either directly or indirectly and may involve animate vectors or inanimate vehicles.	https://github.com/DiseaseOntology/PathogenTransmissionOntology		35	16	0	LOADED
tto	tto	Teleost taxonomy ontology	An ontology covering the taxonomy of teleosts (bony fish)	https://github.com/phenoscape/teleost-taxonomy-ontology		38705	27	0	LOADED
txpo	txpo	TOXic Process Ontology (TXPO)	Elucidating the mechanism of toxicity is crucial in drug safety evaluations. TOXic Process Ontology (TXPO) systematizes a wide variety of terms involving toxicity courses and processes. The first version of TXPO focuses on liver toxicity.\n\nThe TXPO contains an is-a hierarchy that is organized into three layers: the top layer contains general terms, mostly derived from the Basic Formal Ontology. The intermediate layer contains biomedical terms in OBO foundry from UBERON, Cell Ontology, NCBI Taxon, ChEBI, Gene Ontology, PATO, OGG, INOH, HINO, NCIT, DOID and Relational ontology (RO). The lower layer contains toxicological terms.\n\nIn applied work, we have developed a prototype of TOXPILOT, a TOXic Process InterpretabLe knOwledge sysTem. TOXPILOT provides visualization maps of the toxic course, which facilitates capturing the comprehensive picture for understanding toxicity mechanisms. A prototype of TOXPILOT is available: https://toxpilot.nibiohn.go.jp	https://toxpilot.nibiohn.go.jp/	2022/12/07	9406	148	0	LOADED
uberon	uberon	Uber-anatomy ontology	Uberon is an integrated cross-species anatomy ontology representing a variety of entities classified according to traditional anatomical criteria such as structure, function and developmental lineage. The ontology includes comprehensive relationships to taxon-specific anatomical ontologies, allowing integration of functional, phenotype and expression data.	http://uberon.org		26913	558	67	LOADED
uo	uo	Units of measurement ontology	Metrical units for use in conjunction with PATO	https://github.com/bio-ontology-research-group/unit-ontology	2023-05-25	572	4	275	LOADED
upheno	upheno	Unified Phenotype Ontology (uPheno)	The uPheno ontology integrates multiple phenotype ontologies into a unified cross-species phenotype ontology.	https://github.com/obophenotype/upheno	2025-10-12	193296	502	0	LOADED
vbo	vbo	Vertebrate Breed Ontology	Vertebrate Breed Ontology is an ontology created to serve as a single computable resource for vertebrate breed names.	https://github.com/monarch-initiative/vertebrate-breed-ontology	2025-08-12	19586	253	268	LOADED
vo	vo	Vaccine Ontology	The Vaccine Ontology (VO) is a community-based biomedical ontology in the domain of vaccine and vaccination. VO aims to standardize vaccine types and annotations, integrate various vaccine data, and support computer-assisted reasoning. The VO supports basic vaccine R&D and clinical vaccine usage. VO is being developed as a community-based ontology with support and collaborations from the vaccine and bio-ontology communities.	https://violinet.org/vaccineontology	2025-07-06	14509	284	590	LOADED
vt	vt	The Vertebrate Trait Ontology	The Vertebrate Trait Ontology is a controlled vocabulary for the description of traits (measurable or observable characteristics) pertaining to the morphology, physiology, or development of vertebrate organisms.	https://github.com/AnimalGenome/vertebrate-trait-ontology	2025-10-14	3995	24	0	LOADED
vto	vto	Vertebrate Taxonomy Ontology	Comprehensive hierarchy of extinct and extant vertebrate taxa.	https://github.com/phenoscape/vertebrate-taxonomy-ontology		107254	27	0	LOADED
wbbt	wbbt	C. elegans Gross Anatomy Ontology	Ontology about the gross anatomy of the C. elegans	https://github.com/obophenotype/c-elegans-gross-anatomy-ontology		7573	188	48	LOADED
wbls	wbls	C. elegans Development Ontology	Ontology about the development and life stages of the C. elegans	https://github.com/obophenotype/c-elegans-development-ontology	2025-08-12	796	187	48	LOADED
wbphenotype	wbphenotype	C elegans Phenotype Ontology	Ontology about C. elegans and other nematode phenotypes	https://github.com/obophenotype/c-elegans-phenotype-ontology	2025-08-12	6535	292	57	LOADED
xao	xao	Xenopus Anatomy Ontology	XAO represents the anatomy and development of the African frogs Xenopus laevis and tropicalis.	http://www.xenbase.org/anatomy/xao.do?method=display		1830	43	0	LOADED
xco	xco	Experimental condition ontology	Conditions under which physiological and morphological measurements are made both in the clinic and in studies involving humans or model organisms.	https://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=XCO:0000000		1737	25	0	LOADED
xlmod	xlmod	HUPO-PSI cross-linking and derivatization reagents controlled vocabulary	A structured controlled vocabulary for cross-linking reagents used with proteomics mass spectrometry.	http://www.psidev.info/groups/controlled-vocabularies		1102	47	0	LOADED
xpo	xpo	Xenopus Phenotype Ontology	XPO represents anatomical, cellular, and gene function phenotypes occurring throughout the development of the African frogs Xenopus laevis and tropicalis.	https://github.com/obophenotype/xenopus-phenotype-ontology	2025-07-25	30225	444	57	LOADED
zeco	zeco	Zebrafish Experimental Conditions Ontology	Ontology of Zebrafish Experimental Conditions	https://github.com/ybradford/zebrafish-experimental-conditions-ontology	2022-02-14	161	44	0	LOADED
zfa	zfa	Zebrafish Anatomy Ontology (ZFA)	ZFA description.	https://wiki.zfin.org/display/general/Anatomy+Atlases+and+Resources	2025-09-05	3285	44	0	LOADED
zfs	zfs	Zebrafish developmental stages ontology	Developmental stages of the Zebrafish	https://wiki.zfin.org/display/general/Anatomy+Atlases+and+Resources		54	21	0	LOADED
zp	zp	Zebrafish Phenotype Ontology (ZP)	The Zebrafish Phenotype Ontology formally defines all phenotypes of the Zebrafish model organism.	https://github.com/obophenotype/zebrafish-phenotype-ontology	2024-04-18	63809	180	0	LOADED
gsso	gsso	GSSO - the Gender, Sex, and Sexual Orientation ontology	GSSO is the Gender, Sex, and Sex Orientation ontology, including terms related to gender identity and expression, sexual and romantic identity and orientation, and sexual and reproductive behavior.	https://gsso.research.cchmc.org/		13192	292	3004	LOADED
hp	hp	Human Phenotype Ontology	The Human Phenotype Ontology (HPO) provides a standardized vocabulary of phenotypic abnormalities and clinical features encountered in human disease.	http://www.human-phenotype-ontology.org/	2025-09-01	31860	373	0	LOADED
kisao	kisao	Kinetic Simulation Algorithm Ontology	A classification of algorithms for simulating biology, their parameters, and their outputs	https://github.com/SED-ML/KiSAO	2.34	525	19	0	LOADED
sbo	sbo	Systems Biology Ontology	Terms commonly used in Systems Biology, and in particular in computational modeling.	http://www.ebi.ac.uk/sbo/	28:08:2021 03:13	695	1	0	LOADED
scdo	scdo	Sickle Cell Disease Ontology	An ontology for the standardization of terminology and integration of knowledge about Sickle Cell Disease.	https://scdontology.h3abionet.org/		2071	145	0	LOADED
fix	fix	Physico-chemical methods and properties	An ontology of physico-chemical methods and properties.	http://www.ebi.ac.uk/chebi		1163	15	0	LOADED
mamo	mamo	Mathematical Modelling Ontology	The Mathematical Modelling Ontology (MAMO) is a classification of the types of mathematical models used mostly in the life sciences, their variables, relationships and other relevant features.	http://sourceforge.net/p/mamo-ontology/wiki/Home/	2023-02-03	106	9	0	LOADED
rex	rex	Physico-chemical process	An ontology of physico-chemical processes, i.e. physico-chemical changes occurring in course of time.			552	17	0	LOADED
sibo	sibo	Social Insect Behavior Ontology	Social Behavior in insects	https://github.com/obophenotype/sibo		525	21	0	LOADED
eupath	eupath	VEuPathDB Ontology	The VEuPathDB ontology is an application ontology developed to encode our understanding of what data is about in the public resources developed and maintained by the Eukaryotic Pathogen, Host and Vector Genomics Resource (VEuPathDB; https://veupathdb.org). The VEuPathDB ontology was previously named the EuPathDB ontology prior to EuPathDB joining with VectorBase.The ontology was built based on the Ontology of Biomedical Investigations (OBI) with integration of other OBO ontologies such as PATO, OGMS, DO, etc. as needed for coverage. Currently the VEuPath ontology is primarily intended to be used for support of the VEuPathDB sites. Terms with VEuPathDB ontology IDs that are not specific to VEuPathDB will be submitted to OBO Foundry ontologies for subsequent import and replacement of those terms when they are available.	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology	2023-05-30	5109	205	92	LOADED
fbbi	fbbi	Biological Imaging Methods Ontology	A structured controlled vocabulary of sample preparation, visualization and imaging methods used in biomedical research.	http://cellimagelibrary.org/		647	140	0	LOADED
mfmo	mfmo	Mammalian Feeding Muscle Ontology	The Mammalian Feeding Muscle Ontology is an antomy ontology for the muscles of the head and neck that participate in feeding, swallowing, and other oral-pharyngeal behaviors.	https://github.com/rdruzinsky/feedontology		270	851	125	LOADED
micro	micro	Ontology of Prokaryotic Phenotypic and Metabolic Characters	An ontology of prokaryotic phenotypic and metabolic characters	https://github.com/carrineblank/MicrO	MicrO (An Ontology of Prokaryotic Phenotypic and Metabolic Characters).  Version 1.5.1 released 6/14/2018.\n\nIncludes terms and term synonyms extracted from > 3000 prokaryotic taxonomic descriptions, collected from a large number of taxonomic descriptions from Archaea, Cyanobacteria, Bacteroidetes, Firmicutes and Mollicutes.\n\nThe ontology and the synonym lists were developed to facilitate the automated extraction of phenotypic data and character states from prokaryotic taxonomic descriptions using a natural language processing algorithm (MicroPIE).  MicroPIE was developed by Hong Cui, Elvis Hsin-Hui Wu, and Jin Mao (University of Arizona) in collaboration with Carrine E. Blank (University of Montana) and Lisa R. Moore (University of Southern Maine).\n\nDescriptions and links to MicroPIE can be found at http://avatol.org/ngp/nlp/overview-2/.\nhttps://github.com/biosemantics/micropie2\n\nThe most current version of MicrO can be downloaded from https://github.com/carrineblank/MicrO.	19246	605	19	LOADED
ogsf	ogsf	Ontology of Genetic Susceptibility Factor	An application ontology to represent genetic susceptibility to a specific disease, adverse event, or a pathological process.	https://github.com/linikujp/OGSF	2.0	406	215	57	LOADED
olatdv	olatdv	Medaka Developmental Stages	Life cycle stages for Medaka	https://github.com/obophenotype/developmental-stage-ontologies/wiki/OlatDv		47	15	0	LOADED
pdumdv	pdumdv	Platynereis Developmental Stages	Life cycle stages for Platynereis dumerilii	https://github.com/obophenotype/developmental-stage-ontologies/wiki/PdumDv		21	17	0	LOADED
aeo	aeo	Anatomical Entity Ontology	AEO is an ontology of anatomical structures that expands CARO, the Common Anatomy Reference Ontology	https://github.com/obophenotype/human-developmental-anatomy-ontology/		250	26	0	LOADED
ceph	ceph	Cephalopod Ontology	An anatomical and developmental ontology for cephalopods	https://github.com/obophenotype/cephalopod-ontology		1574	135	24	LOADED
ehdaa2	ehdaa2	Human developmental anatomy, abstract	A structured controlled vocabulary of stage-specific anatomical structures of the developing human.	https://github.com/obophenotype/human-developmental-anatomy-ontology		2734	27	0	LOADED
fma	fma	Foundational Model of Anatomy Ontology (subset)	This is currently a slimmed down version of FMA	http://si.washington.edu/projects/fma		78977	15	0	LOADED
gaz	gaz	Gazetteer	A gazetteer constructed on ontological principles. The countries are actively maintained.	http://environmentontology.github.io/gaz/		17165	338	661037	LOADED
idomal	idomal	Malaria Ontology	An application ontology to cover all aspects of malaria as well as the intervention attempts to control it.	https://www.vectorbase.org/ontology-browser		3158	46	595	LOADED
miro	miro	Mosquito insecticide resistance	Application ontology for entities related to insecticide resistance in mosquitos			4409	40	126	LOADED
tads	tads	Tick Anatomy Ontology	The anatomy of the Tick, <i>Families: Ixodidae, Argassidae</i>	https://www.vectorbase.org/ontology-browser		628	17	0	LOADED
tgma	tgma	Mosquito gross anatomy ontology	A structured controlled vocabulary of the anatomy of mosquitoes.	https://www.vectorbase.org/ontology-browser		1864	25	0	LOADED
upa	upa	Unipathway	A manually curated resource for the representation and annotation of metabolic pathways	https://github.com/geneontology/unipathway		4672	145	0	LOADED
bcgo	bcgo	Beta Cell Genomics Ontology	An application ontology built for beta cell genomics studies.	https://github.com/obi-bcgo/bcgo		2270	171	46	LOADED
bila	bila	Bilateria anatomy		http://4dx.embl.de/4DXpress		114	20	0	LOADED
caro	caro	Common Anatomy Reference Ontology	The Common Anatomy Reference Ontology (CARO) is being developed to facilitate interoperability between existing anatomy ontologies for different species, and will provide a template for building new anatomy ontologies.	https://github.com/obophenotype/caro/	2023-03-15	720	279	0	LOADED
emap	emap	Mouse gross anatomy and development, timed	A structured controlled vocabulary of stage-specific anatomical structures of the mouse (Mus).	http://emouseatlas.org		19444	10	0	LOADED
fbsp	fbsp	Fly taxonomy	The taxonomy of the family <i>Drosophilidae</i> (largely after Baechli) and of other taxa referred to in FlyBase.	http://www.flybase.org/		6600	20	0	LOADED
omiabis	omiabis	Ontologized MIABIS	An ontological version of MIABIS (Minimum Information About BIobank data Sharing)	https://github.com/OMIABIS/omiabis-dev	 2014-05-28	427	109	15	LOADED
tao	tao	Teleost Anatomy Ontology	Multispecies fish anatomy ontology. Originally seeded from ZFA, but intended to cover terms relevant to other taxa	http://wiki.phenoscape.org/wiki/Teleost_Anatomy_Ontology		3372	49	0	LOADED
vsao	vsao	Vertebrate Skeletal Anatomy Ontology-	Vertebrate skeletal anatomy ontology.	https://www.nescent.org/phenoscape/Main_Page		314	42	0	LOADED
gold	gold					1824	20	0	LOADED
evorao	evorao					78	201	0	LOADED
ictv	ictv					172671	19	17915	LOADED
uniprotrdfs	uniprotrdfs				2025_03	240	377	45	LOADED
dmba	dmba	Developing Mouse Brain Atlas Ontology	An application ontology built by combining ontologised versions of the Allen Institute Developing Mouse Brain Atlas (DMBA) StructureGraph mapped to Uberon.	https://purl.brain-bican.org/ontology/dmbao	2025-02-10	4238	280	0	LOADED
mba	mba	Mouse Brain Atlas Ontology	An application ontology built by combining ontologised versions of the Allen Institute Mouse Brain Atlas (MBA) StructureGraph mapped to Uberon.	https://purl.brain-bican.org/ontology/mbao	2025-07-28	3101	281	0	LOADED
emi	emi	The Earth Metabolome Initiative (EMI) ontology	The Earth Metabolome Initiative (EMI) ontology is designed to capture and structure the metabolic content of all currently known species on our planet.	https://w3id.org/emi	1.0	161	407	779	LOADED
hra	hra	Human Reference Atlas (HRA)	The Human Reference Atlas (HRA) is a comprehensive, high-resolution, three-dimensional atlas of all the cells in the healthy human body. The Human Reference Atlas provides standard terminologies and data structures for describing specimens, biological structures, and spatial positions linked to existing ontologies.	https://humanatlas.io		10308	187	0	LOADED
dcat	dcat				3	77	259	1	LOADED
biolink	biolink			https://biolink.github.io/biolink-model/		541	497	0	LOADED
addicto	addicto	Addiction Ontology	The Addiction Ontology (AddictO) is an ontology being developed all aspects of addiction research.	https://addictovocab.org		1341	109	0	LOADED
dhba	dhba	Developing Human Brain Atlas Ontology	An application ontology built by combining ontologised versions of the Allen Institute Developing Human Brain Atlas (DHBA) Structure Graph mapped to Uberon.	https://purl.brain-bican.org/ontology/dhbao	2025-02-10	6841	255	0	LOADED
hba	hba	Human Brain Atlas Ontology	An application ontology built by combining ontologised versions of the Allen Institute Human Brain Atlas (HBA) Structure Graph mapped to Uberon.	https://purl.brain-bican.org/ontology/hbao	2025-02-10	5172	254	0	LOADED
semapv	semapv	Semantic Mapping Vocabulary	The Semantic Mapping Vocabulary (SEMAPV) captures concepts and relations related to semantic matching, including types of matching (e.g. lexical, manually curated), preprocessing methods and specialised mapping relations.	https://mapping-commons.github.io/semantic-mapping-vocabulary/		47	20	0	LOADED
slm	slm	SwissLipids	SwissLipids is a curated resource that provides information about known lipids, including lipid structure, metabolism, interactions, and subcellular and tissue localization. Information is curated from peer-reviewed literature and referenced using established ontologies, and provided with full provenance and evidence codes for curated assertions.			1003211	51	0	LOADED
lipidmaps	lipidmaps	LIPID MAPS		https://lipidmaps.org		50253	0	0	LOADED
oio	oio					6	30	0	LOADED
cao	cao	Chemical Analysis Metadata Platform (ChAMP) Ontology version 0.2	The Chemical Analysis Ontology (CAO) is an ontology developed as part of the Chemical Analaysis Metadata Project (ChAMP) as a resource to semantically annotate standards developed using the ChAMP platform.  For more information go to http://champ-project.org.	https://champ.stuchalk.domains.unf.edu/cao	0.2	445	45	0	LOADED
rdfs	rdfs	The RDF Schema vocabulary (RDFS)				6	9	0	LOADED
owl	owl	The OWL 2 Schema vocabulary (OWL 2)			$Date: 2009/11/15 10:54:12 $	32	58	0	LOADED
skos	skos					6	56	0	LOADED
