ontologyId,title,count,description
amphx,Amphioxus Development and Anatomy Ontology (AMPHX),413,An ontology for the development and anatomy of Amphioxus (Branchiostoma lanceolatum).
iao,Information Artifact Ontology (IAO),410,"The Information Artifact Ontology (IAO) is an ontology of information entities, originally driven by work by the OBI digital entity and realizable information entity branch."
pdro,The Prescription of Drugs Ontology,403,An ontology to describe entities related to prescription of drugs
nomen,NOMEN - A nomenclatural ontology for biological names,386,NOMEN is a nomenclatural ontology for biological names (not concepts).  It encodes the goverened rules of nomenclature.
ensemblglossary,Ensembl Glossary,382,"The Ensembl glossary lists the terms, data types and file types that are used in Ensembl and describes how they are used."
vsao,Vertebrate Skeletal Anatomy Ontology-,356,Vertebrate skeletal anatomy ontology.
cdao,Comparative Data Analysis Ontology,324,a formalization of concepts and relations relevant to evolutionary comparative analysis
fbdv,Drosophila development,324,A structured controlled vocabulary of the development of Drosophila melanogaster.
hsapdv,Human Developmental Stages,302,Life cycle stages for Human
aeo,Anatomical Entity Ontology,276,"AEO is an ontology of anatomical structures that expands CARO, the Common Anatomy Reference Ontology"
clyh,Clytia hemisphaerica Development and Anatomy Ontology (CLYH),274,"Anatomy, development and life cycle stages - planula, polyp, medusa/jellyfish - of the cnidarian hydrozoan species, Clytia hemiphaerica."
ogms,Ontology for General Medical Science,263,"The Ontology for General Medical Science (OGMS) is an ontology of entities involved in a clinical encounter. OGMS includes very general terms that are used across medical disciplines, including: 'dise"
dcat,,259,
labo,clinical LABoratory Ontology,247,LABO is an ontology of informational entities formalizing clinical laboratory tests prescriptions and reporting documents.
mmusdv,Mouse Developmental Stages,217,Life cycle stages for Mus Musculus
zeco,Zebrafish Experimental Conditions Ontology,205,Ontology of Zebrafish Experimental Conditions
geo,Geographical Entity Ontology,196,An ontology of geographical entities
teddy,Terminology for Description of Dynamics,185,"TEDDY is an ontology for dynamical behaviours, observable dynamical phenomena, and control elements of bio-models and biological systems in Systems and Synthetic Biology."
ornaseq,Ontology for RNA sequencing (ORNASEQ),181,An application ontology designed to annotate next-generation sequencing experiments performed on RNA.
cro,Contributor Role Ontology,175,"A classification of the diverse roles performed in the work leading to a published research output in the sciences. Its purpose to provide transparency in contributions to scholarly published work, to"
exo,Exposure ontology (ExO),175,"ExO is intended to bridge the gap between exposure science and diverse environmental health disciplines including toxicology, epidemiology, disease surveillance, and epigenetics."
gecko,Genomics Cohorts Knowledge Ontology,171,An ontology to represent genomics cohort attributes.
ddanat,Dicty Anatomy Ontology (DDANAT),161,A structured controlled vocabulary of anatomies of the slime-mold Dictyostelium discoideum.
fao,Fungal gross anatomy,147,A structured controlled vocabulary for the anatomy of fungi.
ccf,Human Reference Atlas Common Coordinate Framework Ontology,144,The Common Coordinate Framework (CCF) Ontology is an application ontology built to support the development of the Human Reference Atlas (HRA).  It unifies vocabulary for HRA construction and usage—mak
mpio,Minimum PDDI Information Ontology,135,An ontology of minimum information regarding potential drug-drug interaction information.
bila,Bilateria anatomy,134,
omo,OBO Metadata Ontology,123,An ontology specifies terms that are used to annotate ontology terms for all OBO ontologies. The ontology was developed as part of Information Artifact Ontology (IAO).
mamo,Mathematical Modelling Ontology,115,"The Mathematical Modelling Ontology (MAMO) is a classification of the types of mathematical models used mostly in the life sciences, their variables, relationships and other relevant features."
cob,Core Ontology for Biology and Biomedicine,105,COB brings together key terms from a wide range of OBO projects to improve interoperability.
prov,Provenance Ontology (PROV-O),102,
orth,Orthology Ontology,100,The need of a common ontology for describing orthology information in biological research communities has led to the creation of the Orthology Ontology (ORTH). ORTH ontology is designed to describe se
disdriv,Disease Drivers,96,"Drivers of human diseases including environmental, maternal and social exposures."
shareloc,ShareLoc,95,"ShareLoc defines terms to annotate data sets from single molecule localization microscopy, including but not limited to: imaging technique, biological structures or molecules of interest, cell types, "
owl,The OWL 2 Schema vocabulary (OWL 2),90,
taxrank,Taxonomic rank vocabulary,88,"A vocabulary of taxonomic ranks (species, family, phylum, etc)"
hom,Homology Ontology,84,"This ontology represents concepts related to homology, as well as other concepts used to describe similarity and non-homology."
probonto,Probability Distribution Ontology,83,"ProbOnto, is an ontology-based knowledge base of probability distributions, featuring more than eighty uni- and multivariate distributions with their defining functions, characteristics, relationships"
dcterms,,77,
zfs,Zebrafish developmental stages ontology,75,Developmental stages of the Zebrafish
semapv,Semantic Mapping Vocabulary,67,"The Semantic Mapping Vocabulary (SEMAPV) captures concepts and relations related to semantic matching, including types of matching (e.g. lexical, manually curated), preprocessing methods and specialis"
olatdv,Medaka Developmental Stages,62,Life cycle stages for Medaka
cio,Confidence Information Ontology,61,An ontology to capture confidence information about annotations.
bfo,Basic Formal Ontology,57,The upper level ontology upon which OBO Foundry ontologies are built.
trans,Pathogen Transmission Ontology,51,"The Pathogen Transmission Ontology describes the tranmission methods of human disease pathogens describing how a pathogen is transmitted from one host, reservoir, or source to another host. The pathog"
phi,PHI-base Ontology,50,Pathogen-Host Interaction database Ontology used by Ensembl
pdumdv,Platynereis Developmental Stages,38,Life cycle stages for Platynereis dumerilii
skos,,32,
oio,,29,
dc,,15,
rdfs,The RDF Schema vocabulary (RDFS),15,
Latitude (min/max) ,Unknown,1,
Location ,Unknown,1,
