metpo_id	metpo_label	parent_classes	current_definition	has_current_definition	matched_definition	matched_source	matched_quality	def_similarity	extracted_genus	genus_status	matched_parent	suggested_tweak	needs_tweak
METPO:1000679	pleomorphic shaped	cell shape		no	A shape quality inhering in a cell by virtue of the bearer's ability to take on two or more different shapes during its life cycle.	pato	excellent	0.000		no_genus		Rewrite as: A cell shape that a shape quality inhering in a cell by virtue of the bearer's ability to take on two or more different shapes during its life cycle.	yes
METPO:1000680	ring shaped	cell shape		no	A shape quality inhering in a bearer by virtue of the bearer's having a shape like a ring (a circular shape enclosing a space).	micro	excellent	0.000		no_genus		Rewrite as: A cell shape that a shape quality inhering in a bearer by virtue of the bearer's having a shape like a ring (a circular shape enclosing a space).	yes
METPO:1000681	rod shaped	cell shape		no	rod-like; rod-shaped; tubulate	upheno	adequate	0.000		no_genus		Rewrite as: A cell shape that rod-like; rod-shaped; tubulate	yes
METPO:1000683	sphere shaped	cell shape		no	globular; rotund; A spheroid quality inhering in a bearer by virtue of the bearer's resembling a ball (a sphere whose equatorial diameter is equal to the polar diameter).	omp	excellent	0.000		no_genus		Rewrite as: A cell shape that globular; rotund; a spheroid quality inhering in a bearer by virtue of the bearer's resembling a ball (a sphere whose equatorial diameter is equal to the polar diameter).	yes
METPO:1000684	spiral shaped	cell shape		no	A spiral cell shape phenotype where a cell forms a rigid spiral.	omp	excellent	0.000	spiral cell shape phenotype	genus_matches_parent	cell shape		no
METPO:1000685	star shaped	cell shape		no	A shape quality inhering in a bearer by virtue of the bearer's being arranged like rays or radii; radiating from a common center.	pato	excellent	0.000		no_genus		Rewrite as: A cell shape that a shape quality inhering in a bearer by virtue of the bearer's being arranged like rays or radii; radiating from a common center.	yes
METPO:1000686	vibrio shaped	cell shape		no	A spiral cell shape phenotype where a rod-shaped cell is curved to form a comma-like shape or incomplete spiral.	omp	excellent	0.000	spiral cell shape phenotype	genus_matches_parent	cell shape		no
METPO:1000688	coccobacillus shaped	cell shape		no	A cell shape phenotype where a cell is intermediate in shape between a coccus (sphere) and a bacillus (rod).	omp	excellent	0.000	cell shape phenotype	genus_matches_parent	cell shape		no
METPO:1000689	disc shaped	cell shape		no	disc-shaped; disk-shaped; A shape quality inhering in a bearer by virtue of the bearer's being cylindrical, in which the height is less than the diameter.	pato	excellent	0.000		no_genus		Rewrite as: A cell shape that disc-shaped; disk-shaped; a shape quality inhering in a bearer by virtue of the bearer's being cylindrical, in which the height is less than the diameter.	yes
METPO:1000690	fusiform shaped	cell shape		no	Having a spindle-like shape that is wide in the middle and tapers at both ends.	pato	good	0.000		no_genus		Rewrite as: A cell shape that having a spindle-like shape that is wide in the middle and tapers at both ends.	yes
METPO:1000691	irregular shaped	cell shape		no	A shape quality inhering on a bearer by virtue of a bearer's shape lacking in pattern or uniformity; for example, it may have sides of different lengths, different curvatures, or unequal angles.	pato	excellent	0.000		no_genus		Rewrite as: A cell shape that a shape quality inhering on a bearer by virtue of a bearer's shape lacking in pattern or uniformity; for example, it may have sides of different lengths, different curvatures, or unequal angles.	yes
METPO:1000693	spirochete shaped	cell shape		no	A spiral cell shape phenotype where a cell forms a flexible spiral.	omp	excellent	0.000	spiral cell shape phenotype	genus_matches_parent	cell shape		no
METPO:1000694	square shaped	cell shape		no	square face shape; square faces; square facial shape	upheno	good	0.000		no_genus		Rewrite as: A cell shape that square face shape; square faces; square facial shape	yes
METPO:1000695	tailed shaped	cell shape		no	A convex 3-D shape quality inhering in a bearer by virtue of the bearer's exhibiting a by virtue of the bearer's exhibiting a consistently sized and approximately round cross-section along its length, which is many times larger than its diameter.	pato	excellent	0.000	convex 3-D shape quality inhering in a bearer by virtue of the bearer's exhibiting a by virtue of the bearer's exhibiting a consistently sized and approximately round cross-section along its length,	genus_matches_parent	cell shape		no
METPO:1000696	triangular shaped	cell shape		no	A shape quality inhering in a bearer by virtue of the bearer's being shaped like a lance-head, considerably longer than wide, tapering towards the tip from below the middle together forming three angles; attached at the broad end.	pato	excellent	0.000		no_genus		Rewrite as: A cell shape that a shape quality inhering in a bearer by virtue of the bearer's being shaped like a lance-head, considerably longer than wide, tapering towards the tip from below the middle together forming three angles; attached at the broad end.	yes
METPO:1000697	gram stain	phenotype		no	A cell staining phenotype where microorganisms are grouped based on their ability to retain crystal violet stain when decolorized with an organic solvent such as ethanol.	omp	excellent	0.000	cell staining phenotype	genus_matches_parent	phenotype		no
METPO:1000698	gram positive	gram stain		no	Bacteria that retain the crystal violet stain used in Gram staining. Gram-positive bacteria have a thick peptidoglycan layer in their cell walls.	d3o	good	0.000		no_genus		Rewrite as: A gram stain that bacteria that retain the crystal violet stain used in gram staining. gram-positive bacteria have a thick peptidoglycan layer in their cell walls.	yes
METPO:1000699	gram negative	gram stain		no	A gram stain phenotype where a cell or cells do not retain crystal violet stain when decolorized with an organic solvent such as ethanol.	omp	excellent	0.000	gram stain phenotype	genus_matches_parent	gram stain		no
METPO:1000701	motility	phenotype		no	The spontaneous peristaltic movements of the stomach that aid in digestion, moving food through the stomach and out through the pyloric sphincter into the duodenum.	go	excellent	0.000		no_genus		Rewrite as: A phenotype that the spontaneous peristaltic movements of the stomach that aid in digestion, moving food through the stomach and out through the pyloric sphincter into the duodenum.	yes
METPO:1000702	motile	motility		no	A sperm cell that is cabaple of motion (motility).	go	excellent	0.000	sperm cell	genus_missing_parent		Replace genus 'sperm cell' with 'motility': A motility that is cabaple of motion (motility).	yes
METPO:1000703	non motile	motility		no	A sperm cell that is not cabaple of motion (motility).	go	excellent	0.000	sperm cell	genus_missing_parent		Replace genus 'sperm cell' with 'motility': A motility that is not cabaple of motion (motility).	yes
METPO:1000704	flagellated	motile		no	A motile sperm cell that contains a slender threadlike microscopic appendage that enables motion.	go	excellent	0.000	motile sperm cell	genus_matches_parent	motile		no
METPO:1000706	gliding	motile		no	cell gliding motility; Cell motility that results in the smooth movement of a cell along a solid surface.	go	good	0.000		no_genus		Rewrite as: A motile that cell gliding motility; cell motility that results in the smooth movement of a cell along a solid surface.	yes
METPO:1000721	extreme hyperthermophilic	temperature preference	A microorganism that grows optimally at temperatures above 90°C.	yes	A habitat characterized by an average temperature of at least 80deg C. Inhabited by hyperthermophilic organisms.	envo	excellent	0.318		no_genus		Rewrite as: A temperature preference that a habitat characterized by an average temperature of at least 80deg c. inhabited by hyperthermophilic organisms.	yes
METPO:1000731	nutrient adaptation	trophic type		no	A nutrient utilization phenotype concerning the uptake of one or more nutrients from the environment.	omp	excellent	0.000		no_genus		Rewrite as: A trophic type that a nutrient utilization phenotype concerning the uptake of one or more nutrients from the environment.	yes
METPO:1000800	respiration	metabolism	An organism's observable and characteristic method of performing cellular respiration, distinguished primarily by the specific terminal electron acceptor its metabolic pathways utilize for the purpose of producing cellular energy.	yes	breathing organ; respiratory organ; gas exchange organ	upheno	good	0.000		no_genus		Rewrite as: A metabolism that breathing organ; respiratory organ; gas exchange organ	yes
METPO:1000801	Aerobic respiration	respiration		no	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.	go	excellent	0.000		no_genus		Rewrite as: A respiration that the enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor.	yes
METPO:1000802	Anaerobic respiration	respiration		no	The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which uses compounds other than oxygen (e.g. nitrate, sulfate) as the terminal electron acceptor.	go	excellent	0.000		no_genus		Rewrite as: A respiration that the enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which uses compounds other than oxygen (e.g. nitrate, sulfate) as the terminal electron acceptor.	yes
METPO:1000803	Oxidative phosphorylation	metabolism		no	The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis.	go	excellent	0.000		no_genus		Rewrite as: A metabolism that the phosphorylation of adp to atp that accompanies the oxidation of a metabolite through the operation of the respiratory chain. oxidation of compounds establishes a proton gradient across the membrane, providing the energy for atp synthesis.	yes
METPO:1000805	Electron transfer	metabolism		no	A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors.	go	excellent	0.000	process in	genus_missing_parent		Replace genus 'process in' with 'metabolism': A metabolism which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors.	yes
METPO:1000844	Methanogenesis	metabolism		no	methane biosynthesis from methanol; methane biosynthetic process from methanol; The formation of methane, a colorless, odorless, flammable gas with the formula CH4, from other components, including methanol.	micro	good	0.000		no_genus		Rewrite as: A metabolism that methane biosynthesis from methanol; methane biosynthetic process from methanol; the formation of methane, a colorless, odorless, flammable gas with the formula ch4, from other components, including methanol.	yes
METPO:1000845	Acetogenesis	metabolism		no	acetoin metabolism; The chemical reactions and pathways involving acetoin, 3-hydroxy-2-butanone, often as part of a fermentation pathway or for use as a carbon source.	go	excellent	0.000		no_genus		Rewrite as: A metabolism that acetoin metabolism; the chemical reactions and pathways involving acetoin, 3-hydroxy-2-butanone, often as part of a fermentation pathway or for use as a carbon source.	yes
METPO:1000870	sporulation	phenotype		no	The process whose specific outcome is the progression of a spore over time, from its initiation to the mature structure. A spore is a structure that can be used for dissemination, for survival of adverse conditions because of its heat and dessication resistance, and/or for reproduction.	omp	excellent	0.000		no_genus		Rewrite as: A phenotype that the process whose specific outcome is the progression of a spore over time, from its initiation to the mature structure. a spore is a structure that can be used for dissemination, for survival of adverse conditions because of its heat and dessication resistance, and/or for reproduction.	yes
METPO:1000881	cell length	phenotype	A quality of a cell relating to its measurement from end to end.	yes	length of cell; The length of a cell.	go	good	0.257		no_genus		Rewrite as: A phenotype that length of cell; the length of a cell.	yes
METPO:1000882	cell width	phenotype	A quality of a cell relating to its measurement from side to side.	yes	width of multicellular organism; The width of a multicellular organism.	oba	adequate	0.292		no_genus		Rewrite as: A phenotype that width of multicellular organism; the width of a multicellular organism.	yes
METPO:1000883	cell length very small	cell length	A cell length quality of being less than or equal to 1.3 micrometers.	yes	An altered cell morphology in which microbial cells are longer than a designated control; i.e. the maximum distance between the cell ends is greater than a designated control.	omp	excellent	0.189	altered cell morphology in	genus_matches_parent	cell length		no
METPO:1000886	cell length large	cell length	A cell length quality of being greater than 3 micrometers.	yes	length of cell; The length of a cell.	go	good	0.442		no_genus		Rewrite as: A cell length that length of cell; the length of a cell.	yes
METPO:1000888	cell width small	cell width	A cell width quality of being between 0.5 and 0.65 micrometers.	yes	narrow; A width which is relatively small.	pato	good	0.267		no_genus		Rewrite as: A cell width that narrow; a width which is relatively small.	yes
METPO:1000889	cell width medium	cell width	A cell width quality of being between 0.65 and 0.9 micrometers.	yes	width of cell; The width of a cell.	oba	adequate	0.408		no_genus		Rewrite as: A cell width that width of cell; the width of a cell.	yes
METPO:1000890	cell width large	cell width	A cell width quality of being greater than 0.9 micrometers.	yes	width of cell; The width of a cell.	oba	adequate	0.426		no_genus		Rewrite as: A cell width that width of cell; the width of a cell.	yes
METPO:1001002	growth temperature observation	observation	An observation specializing temperature observation for general growth temperature data.	yes	The specific range of temperature within which an organism can grow and reproduce. This range varies for different organisms, depending on their environmental adaptations.	D3O	excellent	0.347		no_genus		Rewrite as: A observation that the specific range of temperature within which an organism can grow and reproduce. this range varies for different organisms, depending on their environmental adaptations.	yes
METPO:1001007	growth NaCl observation	observation		no	normal cell population growth in presence of sodium chloride; normal cell population growth on sodium chloride; normal growth on NaCl; normal vegetative cell population growth on sodium chloride; normal cellular response to sodium chloride; A phenotype in which vegetative cell population growth is normal (i.e. indistinguishable from wild type) in a medium containing sodium chloride, usually at a higher level than in standard media.	fypo	good	0.000		no_genus		Rewrite as: A observation that normal cell population growth in presence of sodium chloride; normal cell population growth on sodium chloride; normal growth on nacl; normal vegetative cell population growth on sodium chloride; normal cellular response to sodium chloride; a phenotype in which vegetative cell population growth is normal (i.e. indistinguishable from wild type) in a medium containing sodium chloride, usually at a higher level than in standard media.	yes
METPO:1001009	NaCl range observation	observation		no	observation design is a study design in which subjects are monitored in the absence of any active intervention by experimentalists.	obi	excellent	0.000		no_genus		Rewrite as: A observation that observation design is a study design in which subjects are monitored in the absence of any active intervention by experimentalists.	yes
METPO:1001013	optimum pH observation	observation		no	Optimal growth pH of a microbe	mpo	poor	0.000		no_genus		Rewrite as: A observation that optimal growth ph of a microbe	yes
METPO:1001016	optimum oxygen observation	observation		no	high blood oxygen saturation level	upheno	adequate	0.000		no_genus		Rewrite as: A observation that high blood oxygen saturation level	yes
METPO:1001017	growth oxygen observation	observation		no	observation design is a study design in which subjects are monitored in the absence of any active intervention by experimentalists.	obi	excellent	0.000		no_genus		Rewrite as: A observation that observation design is a study design in which subjects are monitored in the absence of any active intervention by experimentalists.	yes
METPO:1001023	pH observation	observation		no	observation design is a study design in which subjects are monitored in the absence of any active intervention by experimentalists.	obi	excellent	0.000		no_genus		Rewrite as: A observation that observation design is a study design in which subjects are monitored in the absence of any active intervention by experimentalists.	yes
METPO:1001104	biosafety level 3	biosafety level		no	A set of biocontainment precautions, consisting of combinations of laboratory practices and techniques, safety equipment, and specialized laboratory facilities, required to isolate potentially dangerous biological agents in an enclosed laboratory facility. They include individual safeguards designed to protect laboratory personnel, as well as safeguards designed to protect the surrounding environment and community.	NCIT	good	0.000		no_genus		Rewrite as: A biosafety level that a set of biocontainment precautions, consisting of combinations of laboratory practices and techniques, safety equipment, and specialized laboratory facilities, required to isolate potentially dangerous biological agents in an enclosed laboratory facility. they include individual safeguards designed to protect laboratory personnel, as well as safeguards designed to protect the surrounding environment and community.	yes
METPO:1002005	Fermentation	respiration		no	The anaerobic enzymatic conversion of organic compounds, especially carbohydrates, coupling the oxidation and reduction of NAD/H and the generation of adenosine triphosphate (ATP).	ecocore	excellent	0.000		no_genus		Rewrite as: A respiration that the anaerobic enzymatic conversion of organic compounds, especially carbohydrates, coupling the oxidation and reduction of nad/h and the generation of adenosine triphosphate (atp).	yes
METPO:1003000	pH growth preference	phenotype		no	A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.	omp	excellent	0.000	population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect	genus_matches_parent	phenotype		no
METPO:1003003	acidophilic	pH growth preference		no	An affinity inhering in an anatomical structure by virtue of the bearer exhibiting a molecular interaction for acidic dyes under specific pH conditions.	ecocore	excellent	0.000		no_genus		Rewrite as: A pH growth preference that an affinity inhering in an anatomical structure by virtue of the bearer exhibiting a molecular interaction for acidic dyes under specific ph conditions.	yes
METPO:1003008	acidotolerant	pH growth preference		no	an anaerobe that can tolerate low levels of oxygen	ecocore	good	0.000		no_genus		Rewrite as: A pH growth preference that an anaerobe that can tolerate low levels of oxygen	yes
METPO:1003021	pigmentation	phenotype	A phenotype characterized by the color of pigments produced by a microorganism.	yes	The accumulation of pigment in an organism, tissue or cell, either by increased deposition or by increased number of cells.	go	excellent	0.307		no_genus		Rewrite as: A phenotype that the accumulation of pigment in an organism, tissue or cell, either by increased deposition or by increased number of cells.	yes
METPO:1003029	white pigmented	pigmentation	A phenotype characterized by the production of white-colored pigments.	yes	A degree of pigmentation quality inhering in a bearer by virtue of the bearer's having substances produced by living organisms that have a color resulting from selective color absorption.	pato	excellent	0.140	degree of pigmentation quality inhering in a bearer by virtue of the bearer's having substances produced by living organisms	genus_matches_parent	pigmentation		no
METPO:1003031	carotenoid pigmentation	pigmentation	A phenotype characterized by the production of carotenoid pigments.	yes	The chemical reactions and pathways involving carotenoids, tetraterpenoid compounds in which two units of 4 isoprenoid residues joined head-to-tail are themselves joined tail-to-tail.	go	excellent	0.240		no_genus		Rewrite as: A pigmentation that the chemical reactions and pathways involving carotenoids, tetraterpenoid compounds in which two units of 4 isoprenoid residues joined head-to-tail are themselves joined tail-to-tail.	yes
