metpo_id	metpo_label	source	definition	definition_length	source_iri	source_ontology	source_label	match_type	confidence	quality_label	quality_score	total_score
METPO:1000845	Acetogenesis	sssom	acetoin metabolism; The chemical reactions and pathways involving acetoin, 3-hydroxy-2-butanone, often as part of a fermentation pathway or for use as a carbon source.	167	http://purl.obolibrary.org/obo/GO_0045149	go	acetoin metabolic process	broadMatch	0.235946	excellent	8	8.471892
METPO:1000870	sporulation	sssom	The process whose specific outcome is the progression of a spore over time, from its initiation to the mature structure. A spore is a structure that can be used for dissemination, for survival of adverse conditions because of its heat and dessication resistance, and/or for reproduction.	287	http://purl.obolibrary.org/obo/GO_0043934	omp	sporulation	broadMatch	0.575574	excellent	10	11.151148
METPO:1000881	cell length	sssom	length of cell; The length of a cell.	37	http://purl.obolibrary.org/obo/OBA_2040145	go	cell length	broadMatch	0.490057	good	5	5.980114
METPO:1000882	cell width	sssom	width of multicellular organism; The width of a multicellular organism.	71	http://purl.obolibrary.org/obo/OBA_VT0015039	oba	body width	broadMatch	0.301243	adequate	4	4.602486
METPO:1000883	cell length very small	api_search	An altered cell morphology in which microbial cells are longer than a designated control; i.e. the maximum distance between the cell ends is greater than a designated control.	175	http://purl.obolibrary.org/obo/OMP_0000280	omp	increased cell length	closeMatch	0.5116279069767442	excellent	10	11.023255813953488
METPO:1000886	cell length large	sssom	length of cell; The length of a cell.	37	http://purl.obolibrary.org/obo/OBA_2040145	go	cell length	broadMatch	0.260263	good	5	5.520526
METPO:1000888	cell width small	sssom	narrow; A width which is relatively small.	42	http://purl.obolibrary.org/obo/PATO_0000599	pato	decreased width	broadMatch	0.226282	good	5	5.452564
METPO:1000889	cell width medium	sssom	width of cell; The width of a cell.	35	http://purl.obolibrary.org/obo/OBA_2040146	oba	cell width	broadMatch	0.232272	adequate	3	3.464544
METPO:1000890	cell width large	sssom	width of cell; The width of a cell.	35	http://purl.obolibrary.org/obo/OBA_2040146	oba	cell width	broadMatch	0.25532	adequate	3	3.51064
METPO:1001002	growth temperature observation	api_search	The specific range of temperature within which an organism can grow and reproduce. This range varies for different organisms, depending on their environmental adaptations.	171	https://purl.dsmz.de/schema/GrowthTemperature	D3O	Growth Temperature	closeMatch	0.75	excellent	9	10.5
METPO:1001007	growth NaCl observation	sssom	normal cell population growth in presence of sodium chloride; normal cell population growth on sodium chloride; normal growth on NaCl; normal vegetative cell population growth on sodium chloride; normal cellular response to sodium chloride; A phenotype in which vegetative cell population growth is normal (i.e. indistinguishable from wild type) in a medium containing sodium chloride, usually at a higher level than in standard media.	435	http://purl.obolibrary.org/obo/FYPO_0006717	fypo	normal growth on sodium chloride	broadMatch	0.216816	good	6	6.433632
METPO:1001009	NaCl range observation	api_search	observation design is a study design in which subjects are monitored in the absence of any active intervention by experimentalists.	131	http://purl.obolibrary.org/obo/OBI_0300311	obi	observation design	closeMatch	0.55	excellent	9	10.1
METPO:1001013	optimum pH observation	sssom	Optimal growth pH of a microbe	30	<http://purl.jp/bio/10/mpo#MPO_00108>	mpo	Optimal growth pH	broadMatch	0.233627	poor	2	2.467254
METPO:1001016	optimum oxygen observation	sssom	high blood oxygen saturation level	34	http://purl.obolibrary.org/obo/MP_0031069	upheno	increased blood oxygen saturation level	broadMatch	0.208077	adequate	4	4.416154
METPO:1001017	growth oxygen observation	api_search	observation design is a study design in which subjects are monitored in the absence of any active intervention by experimentalists.	131	http://purl.obolibrary.org/obo/OBI_0300311	obi	observation design	closeMatch	0.5116279069767442	excellent	9	10.023255813953488
METPO:1001023	pH observation	api_search	observation design is a study design in which subjects are monitored in the absence of any active intervention by experimentalists.	131	http://purl.obolibrary.org/obo/OBI_0300311	obi	observation design	closeMatch	0.6875	excellent	9	10.375
METPO:1001104	biosafety level 3	api_search	A set of biocontainment precautions, consisting of combinations of laboratory practices and techniques, safety equipment, and specialized laboratory facilities, required to isolate potentially dangerous biological agents in an enclosed laboratory facility. They include individual safeguards designed to protect laboratory personnel, as well as safeguards designed to protect the surrounding environment and community.	418	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C151920	NCIT	Biosafety Level	closeMatch	0.9375	good	7	8.875
METPO:1002005	Fermentation	sssom	The anaerobic enzymatic conversion of organic compounds, especially carbohydrates, coupling the oxidation and reduction of NAD/H and the generation of adenosine triphosphate (ATP).	180	http://purl.obolibrary.org/obo/GO_0006113	ecocore	fermentation	broadMatch	0.302925	excellent	9	9.60585
METPO:1003000	pH growth preference	sssom	A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.	378	http://purl.obolibrary.org/obo/OMP_0005008	omp	pH effects on population growth phenotype	broadMatch	0.272802	excellent	10	10.545604
METPO:1003003	acidophilic	sssom	An affinity inhering in an anatomical structure by virtue of the bearer exhibiting a molecular interaction for acidic dyes under specific pH conditions.	152	http://purl.obolibrary.org/obo/PATO_0002418	ecocore	acidophilic	broadMatch	0.433681	excellent	9	9.867362
METPO:1003008	acidotolerant	sssom	an anaerobe that can tolerate low levels of oxygen	50	http://purl.obolibrary.org/obo/ECOCORE_00000181	ecocore	aerotolerant anaerobe	broadMatch	0.274815	good	7	7.54963
METPO:1003021	pigmentation	sssom	The accumulation of pigment in an organism, tissue or cell, either by increased deposition or by increased number of cells.	123	http://purl.obolibrary.org/obo/GO_0043473	go	pigmentation	broadMatch	0.437075	excellent	9	9.87415
METPO:1003029	white pigmented	api_search	A degree of pigmentation quality inhering in a bearer by virtue of the bearer's having substances produced by living organisms that have a color resulting from selective color absorption.	187	http://purl.obolibrary.org/obo/PATO_0002248	pato	pigmented	closeMatch	0.75	excellent	10	11.5
METPO:1003031	carotenoid pigmentation	api_search	The chemical reactions and pathways involving carotenoids, tetraterpenoid compounds in which two units of 4 isoprenoid residues joined head-to-tail are themselves joined tail-to-tail.	183	http://purl.obolibrary.org/obo/GO_0016116	go	carotenoid metabolic process	closeMatch	0.6666666666666667	excellent	10	11.333333333333334
