metpo_id	metpo_label	parent_classes	current_definition	proposed_definition	source_terms_consulted	rationale
METPO:1000646	hydrogenotrophic	trophic type		A trophic type where an organism uses molecular hydrogen as an electron donor.	BERVO:0000961 (Hydrogenotrophic methane production rate)	New definition using "trophic type" as genus.
METPO:1000647	lithoautotrophic	trophic type		A trophic type where an organism derives energy from inorganic substrates and carbon from inorganic sources.	None	New definition using "trophic type" as genus.
METPO:1000648	lithoheterotrophic	trophic type		A trophic type where an organism derives energy from inorganic substrates and carbon from organic sources.	None	New definition using "trophic type" as genus.
METPO:1000649	lithotrophic	trophic type		A trophic type where an organism derives energy from inorganic substrates.	MESH:D052818 (Autotrophic Processes)	New definition using "trophic type" as genus.
METPO:1000650	methanotrophic	trophic type		A trophic type where an organism uses methane as its primary carbon and energy source.	None	New definition using "trophic type" as genus.
METPO:1000651	methylotrophic	trophic type		A trophic type where an organism uses reduced one-carbon compounds as its primary carbon and energy source.	None	New definition using "trophic type" as genus.
METPO:1000652	mixotrophic	trophic type		A trophic type where an organism can switch between different energy and carbon acquisition strategies depending on environmental conditions.	OMP:0007851 (mixotrophic energy metabolism)	New definition using "trophic type" as genus.
METPO:1000654	oligotrophic	nutrient adaptation		A nutrient adaptation where an organism thrives in environments with low nutrient availability.	ENVO:01000774 (oligotrophic lake)	New definition using "nutrient adaptation" as genus.
METPO:1000655	organotrophic	trophic type		A trophic type where an organism derives energy from the oxidation of organic compounds.	ECOCORE:00000162 (organotrophy)	New definition using "trophic type" as genus.
METPO:1000656	photoautotrophic	trophic type		A trophic type where an organism derives energy from light and carbon from inorganic sources.	None	New definition using "trophic type" as genus.
METPO:1000657	photoheterotrophic	trophic type		A trophic type where an organism derives energy from light and carbon from organic sources.	None	New definition using "trophic type" as genus.
METPO:1000658	photolithotrophic	trophic type		A trophic type where an organism derives energy from light and electrons from inorganic donors.	None	New definition using "trophic type" as genus.
METPO:1000659	photoorganoheterotrophic	trophic type		A trophic type where an organism derives energy from light, electrons from organic donors, and carbon from organic sources.	ECOCORE:00000125	New definition using "trophic type" as genus.
METPO:1000660	phototrophic	trophic type		A trophic type where an organism derives energy from light.	None	New definition using "trophic type" as genus.
METPO:1000663	chemoorganotrophic	trophic type		A trophic type where an organism derives energy from the oxidation of organic compounds.	OMP:0007111 (chemoorganotrophic)	New definition using "trophic type" as genus.
METPO:1000664	organoheterotrophic	trophic type		A trophic type where an organism derives both energy and carbon from organic compounds, typically the same compounds.	None	New definition using "trophic type" as genus.
METPO:1000665	photolithoautotrophic	trophic type		A trophic type where an organism derives energy from light, electrons from inorganic donors, and carbon from inorganic sources.	None	New definition using "trophic type" as genus.
METPO:1000666	cell shape	phenotype		A phenotype that characterizes the morphological form of a microbial cell.	D3O:CellShape	New definition using "phenotype" as genus.
METPO:1000667	bacillus shaped	cell shape		A cell shape that is elongated and cylindrical, resembling a rod.	OMP:0000076 (rod-shaped cells)	New definition using "cell shape" as genus.
METPO:1000668	coccus shaped	cell shape		A cell shape that is roughly spherical.	OMP:0000123 (coccobacillus - intermediate form)	New definition using "cell shape" as genus.
METPO:1000669	crescent shaped	cell shape		A cell shape that is curved like a crescent moon, with a concave and convex side.	PATO:0001870 (crescent-shaped)	New definition using "cell shape" as genus.
METPO:1000670	curved shaped	cell shape		A cell shape that is bent or arched.	None	New definition using "cell shape" as genus.
METPO:1000671	diplococcus shaped	cell shape		A cell shape where spherical cells occur in pairs due to incomplete separation after division.	OMP:0000117 (diplococcus)	New definition using "cell shape" as genus, includes arrangement.
METPO:1000672	dumbbell shaped	cell shape		A cell shape resembling a dumbbell, with two roughly spherical regions connected by a narrower segment.	PATO:0002309 (fiber shaped - mismatched)	New definition using "cell shape" as genus.
METPO:1000673	ellipsoidal	cell shape		A cell shape that is oval with two axes of symmetry.	PATO:0000947 (elliptic)	New definition using "cell shape" as genus.
METPO:1000674	filament shaped	cell shape		A cell shape where cells form long, thread-like structures.	None	New definition using "cell shape" as genus.
METPO:1000675	flask shaped	cell shape		A cell shape resembling a flask, with a wider base tapering to a narrow neck.	NCIT:C96144 (flask container - not cell)	New definition using "cell shape" as genus.
METPO:1000676	helical shaped	cell shape		A cell shape that is coiled or wound in a helix.	PATO:0000404 (coiled)	New definition using "cell shape" as genus.
METPO:1000677	ovoid shaped	cell shape		A cell shape that is egg-shaped, with one end broader than the other.	PATO:0002537 (subovoid)	New definition using "cell shape" as genus.
METPO:1000678	oval shaped	cell shape		A cell shape that is elliptical or oval.	PATO:0002224 (V-shaped - mismatched)	New definition using "cell shape" as genus.
METPO:1000679	pleomorphic shaped	cell shape		A cell shape where cells exhibit variable morphology, taking on multiple different forms during their life cycle or under different conditions.	PATO:0001356 (pleomorphic)	New definition using "cell shape" as genus.
METPO:1000680	ring shaped	cell shape		A cell shape that forms a closed circular structure.	PATO:0002539 (ring shaped)	New definition using "cell shape" as genus.
METPO:1000681	rod shaped	cell shape		A cell shape that is elongated and cylindrical with a relatively uniform diameter.	PATO:0001873 (cylindrical)	New definition using "cell shape" as genus.
METPO:1000682	spore shaped	cell shape		A cell shape characteristic of spores, typically small and ovoid or spherical with a thick protective wall.	None	New definition using "cell shape" as genus.
METPO:1000683	sphere shaped	cell shape		A cell shape that is perfectly spherical, with all points on the surface equidistant from the center.	PATO:0001499 (spherical)	New definition using "cell shape" as genus.
METPO:1000684	spiral shaped	cell shape		A cell shape that forms a rigid corkscrew or helical structure.	OMP:0000124 (spirillum)	New definition using "cell shape" as genus.
METPO:1000685	star shaped	cell shape		A cell shape with multiple projections radiating from a central point, resembling a star.	PATO:0002065 (star shaped)	New definition using "cell shape" as genus.
METPO:1000686	vibrio shaped	cell shape		A cell shape that is curved or comma-shaped, forming an incomplete arc.	OMP:0000077 (vibrio)	New definition using "cell shape" as genus.
METPO:1000687	branched shaped	cell shape		A cell shape where cells or filaments divide into branches.	None	New definition using "cell shape" as genus.
METPO:1000688	coccobacillus shaped	cell shape		A cell shape that is intermediate between a sphere and a rod, being shorter and thicker than a typical rod but more elongated than a sphere.	OMP:0000123 (coccobacillus cell shape)	New definition using "cell shape" as genus.
METPO:1000689	disc shaped	cell shape		A cell shape that is flat and circular, like a disc, with the diameter much greater than the height.	PATO:0001874 (discoid)	New definition using "cell shape" as genus.
METPO:1000690	fusiform shaped	cell shape		A cell shape that is spindle-shaped, wide in the middle and tapering at both ends.	PATO:0002400 (fusiform)	New definition using "cell shape" as genus.
METPO:1000691	irregular shaped	cell shape		A cell shape that lacks a consistent or predictable form, varying unpredictably in outline.	PATO:0005020 (irregularly shaped)	New definition using "cell shape" as genus.
METPO:1000692	spindle shaped	cell shape		A cell shape that is elongated with tapered ends, widest in the middle.	None	New definition using "cell shape" as genus.
METPO:1000693	spirochete shaped	cell shape		A cell shape that forms a flexible spiral or helical structure, capable of flexing and rotating.	OMP:0000125 (spirochete)	New definition using "cell shape" as genus.
METPO:1000694	square shaped	cell shape		A cell shape with four approximately equal sides and right angles, forming a square or cubic appearance.	MP:0030073 (square face - wrong context)	New definition using "cell shape" as genus.
METPO:1000695	tailed shaped	cell shape		A cell shape with a distinct tail-like appendage or extension.	PATO:0002309 (fiber shaped - mismatched)	New definition using "cell shape" as genus.
METPO:1000696	triangular shaped	cell shape		A cell shape with three sides forming triangular geometry.	PATO:0002338 (lanceolate-triangular)	New definition using "cell shape" as genus.
METPO:1000697	gram stain	phenotype		A phenotype that characterizes the ability of a cell to retain crystal violet stain when decolorized, reflecting cell wall structure.	OMP:0000191 (gram stain phenotype)	New definition using "phenotype" as genus.
METPO:1000698	gram positive	gram stain		A gram stain where cells retain crystal violet stain after decolorization, indicating a thick peptidoglycan layer.	D3O:GramPositiveBacteria	New definition using "gram stain" as genus.
METPO:1000699	gram negative	gram stain		A gram stain where cells do not retain crystal violet stain after decolorization, indicating a thin peptidoglycan layer and outer membrane.	OMP:0000189 (gram negative)	New definition using "gram stain" as genus.
METPO:1000700	gram variable	gram stain		A gram stain where cells inconsistently retain crystal violet stain, showing mixed or variable staining within a population.	None	New definition using "gram stain" as genus.
METPO:1000701	motility	phenotype		A phenotype that characterizes the ability and manner of a microorganism to move.	GO:0035482 (gastric motility - wrong context)	New definition using "phenotype" as genus.
METPO:1000702	motile	motility		A motility where the organism is capable of self-propelled movement.	CL:0011013 (motile sperm cell)	New definition using "motility" as genus.
METPO:1000703	non motile	motility		A motility where the organism lacks the ability for self-propelled movement.	CL:0011014 (non-motile sperm cell)	New definition using "motility" as genus.
METPO:1000704	flagellated	motile		A motility where movement is achieved through one or more flagella.	CL:0011016 (flagellated sperm cell)	New definition using "motile" as genus (subclass).
METPO:1000705	axially filamented	motile		A motility where movement is achieved through axial filaments located between the cell wall and outer membrane.	None	New definition using "motile" as genus.
METPO:1000706	gliding	motile		A motility where movement occurs along a solid surface without apparent appendages.	GO:0071976 (cell gliding)	New definition using "motile" as genus.
METPO:1000720	facultative psychrophilic	temperature preference		A temperature preference where growth occurs optimally at low temperatures but can also occur at moderate temperatures.	None	New definition using "temperature preference" as genus.
METPO:1000721	extreme hyperthermophilic	temperature preference	A microorganism that grows optimally at temperatures above 90°C.	A temperature preference where growth is favored at extremely high temperatures, typically above 90°C.	ENVO:00002027 (extreme high temperature habitat)	Rewritten using "temperature preference" as genus.
METPO:1000731	nutrient adaptation	trophic type		A trophic type that characterizes an organism's adaptation to environments with varying nutrient availability.	None	New definition using "trophic type" as genus.
METPO:1000800	respiration	metabolism	An organism's observable and characteristic method of performing cellular respiration, distinguished primarily by the specific terminal electron acceptor its metabolic pathways utilize for the purpose of producing cellular energy.	A metabolic process where energy is derived from the transfer of electrons to a terminal electron acceptor.	None	Rewritten using "metabolic process" as genus, simplified.
METPO:1000801	Aerobic respiration	respiration		A respiration where molecular oxygen serves as the terminal electron acceptor.	GO:0009061 (anaerobic respiration)	New definition using "respiration" as genus.
METPO:1000802	Anaerobic respiration	respiration		A respiration where inorganic or organic compounds other than molecular oxygen serve as the terminal electron acceptor.	GO:0009061 (anaerobic respiration)	New definition using "respiration" as genus.
METPO:1000803	Oxidative phosphorylation	metabolism		A metabolic process where ATP is synthesized using energy released from the transfer of electrons through an electron transport chain to a terminal electron acceptor.	None	New definition using "metabolic process" as genus.
METPO:1000804	Substrate-level phosphorylation	metabolism		A metabolic process where ATP is synthesized directly from the transfer of a phosphate group from a high-energy substrate molecule to ADP.	None	New definition using "metabolic process" as genus.
METPO:1000805	Electron transfer	metabolism		A metabolic process involving the movement of electrons from an electron donor to an electron acceptor.	None	New definition using "metabolic process" as genus.
METPO:1000806	Disproportionation	metabolism		A metabolic process where a single compound is simultaneously oxidized and reduced, serving as both electron donor and electron acceptor.	None	New definition using "metabolic process" as genus.
METPO:1000844	Methanogenesis	metabolism		A metabolic process where methane is produced as an end product of anaerobic respiration.	None	New definition using "metabolic process" as genus.
METPO:1000845	Acetogenesis	metabolism		A metabolic process where acetate is produced as an end product of anaerobic metabolism.	None	New definition using "metabolic process" as genus.
METPO:1000846	Homoacetogenesis	metabolism		A metabolic process where acetate is produced from carbon dioxide via the reductive acetyl-CoA pathway.	None	New definition using "metabolic process" as genus.
METPO:1000870	sporulation	phenotype		A phenotype that characterizes the ability to form dormant, highly resistant spore structures.	GO:0043934 (sporulation process)	New definition using "phenotype" as genus.
METPO:1000871	spore forming	sporulation		A sporulation where spores are produced.	None	New definition using "sporulation" as genus.
METPO:1000872	non-spore forming	sporulation		A sporulation where spores are not produced.	None	New definition using "sporulation" as genus.
METPO:1000881	cell length	phenotype	A quality of a cell relating to its measurement from end to end.	A phenotype that quantifies the linear extent of a cell measured along its longest axis.	None	Rewritten using "phenotype" as genus, more precise terminology.
METPO:1000882	cell width	phenotype	A quality of a cell relating to its measurement from side to side.	A phenotype that quantifies the linear extent of a cell measured perpendicular to its longest axis.	None	Rewritten using "phenotype" as genus, more precise terminology.
METPO:1000883	cell length very small	cell length	A cell length quality of being less than or equal to 1.3 micrometers.	A cell length of 1.3 micrometers or less.	None	Simplified using "cell length" as genus.
METPO:1000884	cell length small	cell length	A cell length quality of being between 1.3 and 2 micrometers.	A cell length between 1.3 and 2 micrometers.	None	Simplified using "cell length" as genus.
METPO:1000885	cell length medium	cell length	A cell length quality of being between 2 and 3 micrometers.	A cell length between 2 and 3 micrometers.	None	Simplified using "cell length" as genus.
METPO:1000886	cell length large	cell length	A cell length quality of being greater than 3 micrometers.	A cell length of 3 micrometers or more.	None	Simplified using "cell length" as genus.
METPO:1000887	cell width very small	cell width	A cell width quality of being less than or equal to 0.5 micrometers.	A cell width of 0.5 micrometers or less.	None	Simplified using "cell width" as genus.
METPO:1000888	cell width small	cell width	A cell width quality of being between 0.5 and 0.65 micrometers.	A cell width between 0.5 and 0.65 micrometers.	None	Simplified using "cell width" as genus.
METPO:1000889	cell width medium	cell width	A cell width quality of being between 0.65 and 0.9 micrometers.	A cell width between 0.65 and 0.9 micrometers.	None	Simplified using "cell width" as genus.
METPO:1000890	cell width large	cell width	A cell width quality of being greater than 0.9 micrometers.	A cell width of 0.9 micrometers or more.	None	Simplified using "cell width" as genus.
METPO:1001000	observation		A recording of the output of a measurement such as produced by a device.	A recording of a measurement or observation of a property or characteristic.	IAO:0000109	Root class, simplified from IAO definition.
METPO:1001001	optimum temperature observation	observation	An observation specializing temperature observation for optimum temperature data.	An observation that records the temperature at which maximum growth occurs.	None	Uses "observation" as genus, specifies what is observed.
METPO:1001002	growth temperature observation	observation	An observation specializing temperature observation for general growth temperature data.	An observation that records a temperature at which growth occurs.	None	Uses "observation" as genus.
METPO:1001003	temperature range observation	observation	An observation specializing temperature observation for growth temperature range data.	An observation that records the range of temperatures within which growth occurs.	None	Uses "observation" as genus.
METPO:1001004	temperature delta observation	observation	An observation specializing temperature observation for tolerance breadth (delta) data.	An observation that records the breadth of temperatures tolerated, calculated as maximum minus minimum.	None	Uses "observation" as genus.
METPO:1001007	growth NaCl observation	observation		An observation that records a sodium chloride concentration at which growth occurs.	None	New definition using "observation" as genus.
METPO:1001008	NaCl delta observation	observation		An observation that records the breadth of sodium chloride concentrations tolerated.	None	New definition using "observation" as genus.
METPO:1001009	NaCl range observation	observation		An observation that records the range of sodium chloride concentrations within which growth occurs.	None	New definition using "observation" as genus.
METPO:1001010	optimum NaCl observation	observation		An observation that records the sodium chloride concentration at which maximum growth occurs.	None	New definition using "observation" as genus.
METPO:1001012	growth pH observation	observation		An observation that records a pH value at which growth occurs.	None	New definition using "observation" as genus.
METPO:1001013	optimum pH observation	observation		An observation that records the pH value at which maximum growth occurs.	None	New definition using "observation" as genus.
METPO:1001014	pH delta observation	observation		An observation that records the breadth of pH values tolerated.	None	New definition using "observation" as genus.
METPO:1001015	pH range observation	observation		An observation that records the range of pH values within which growth occurs.	None	New definition using "observation" as genus.
METPO:1001016	optimum oxygen observation	observation		An observation that records the oxygen concentration at which maximum growth occurs.	None	New definition using "observation" as genus.
METPO:1001017	growth oxygen observation	observation		An observation that records an oxygen concentration at which growth occurs.	None	New definition using "observation" as genus.
METPO:1001018	oxygen range observation	observation		An observation that records the range of oxygen concentrations within which growth occurs.	None	New definition using "observation" as genus.
METPO:1001019	oxygen delta observation	observation		An observation that records the breadth of oxygen concentrations tolerated.	None	New definition using "observation" as genus.
METPO:1001020	oxygen observation	observation		An observation that records an oxygen concentration or oxygen-related measurement.	None	New definition using "observation" as genus.
METPO:1001021	temperature observation	observation		An observation that records a temperature or temperature-related measurement.	None	New definition using "observation" as genus.
METPO:1001022	NaCl observation	observation		An observation that records a sodium chloride concentration or salinity-related measurement.	None	New definition using "observation" as genus.
METPO:1001023	pH observation	observation		An observation that records a pH value or hydrogen ion concentration measurement.	OBI:0001047 (pH meter - device not observation)	New definition using "observation" as genus.
METPO:1001101	biosafety level	quality		A quality that characterizes the degree of biocontainment precautions required to safely handle an organism.	None	New definition using "quality" as genus.
METPO:1001102	biosafety level 1	biosafety level		A biosafety level requiring minimal containment, for agents not known to consistently cause disease in healthy adults.	None	New definition using "biosafety level" as genus.
METPO:1001103	biosafety level 2	biosafety level		A biosafety level requiring moderate containment, for agents of moderate potential hazard to personnel and environment.	None	New definition using "biosafety level" as genus.
METPO:1001104	biosafety level 3	biosafety level		A biosafety level requiring containment, for indigenous or exotic agents with potential for aerosol transmission and serious or lethal infection.	None	New definition using "biosafety level" as genus.
METPO:1001105	biosafety level 4	biosafety level		A biosafety level requiring maximum containment, for dangerous and exotic agents with high individual risk of life-threatening disease.	None	New definition using "biosafety level" as genus.
METPO:1001106	biosafety level 5	biosafety level		A biosafety level requiring enhanced maximum containment beyond level 4.	None	New definition using "biosafety level" as genus (uncommon level).
METPO:1002003	Cable bacteria metabolism	metabolism		A metabolic process where electrons are conducted over centimeter-scale distances through multicellular filamentous structures.	None	New definition using "metabolic process" as genus, describes unique cable bacteria metabolism.
METPO:1002005	Fermentation	respiration		A metabolic process where energy is derived from substrate-level phosphorylation without an external electron acceptor.	None	New definition, though fermentation is not technically respiration. Uses parent class as genus.
METPO:1002006	Syntrophy	metabolism		A metabolic process where two or more organisms cooperate to degrade substrates that neither can metabolize alone.	None	New definition using "metabolic process" as genus.
METPO:1003000	pH growth preference	phenotype		A phenotype that characterizes an organism's preferred pH range for optimal growth.	None	New definition using "phenotype" as genus.
METPO:1003001	neutrophilic	pH growth preference		A pH growth preference where growth is favored at neutral pH, typically between pH 6 and 8.	None	New definition using "pH growth preference" as genus.
METPO:1003002	alkaphilic	pH growth preference		A pH growth preference where growth is favored at alkaline pH, typically above pH 8.	None	New definition using "pH growth preference" as genus.
METPO:1003003	acidophilic	pH growth preference		A pH growth preference where growth is favored at acidic pH, typically below pH 6.	None	New definition using "pH growth preference" as genus.
METPO:1003004	obligately alkaphilic	pH growth preference		A pH growth preference where alkaline pH is required for growth.	None	New definition using "pH growth preference" as genus.
METPO:1003005	facultatively alkaphilic	pH growth preference		A pH growth preference where growth occurs at alkaline pH but can also occur at neutral pH.	None	New definition using "pH growth preference" as genus.
METPO:1003006	obligately acidophilic	pH growth preference		A pH growth preference where acidic pH is required for growth.	None	New definition using "pH growth preference" as genus.
METPO:1003007	facultatively acidophilic	pH growth preference		A pH growth preference where growth occurs at acidic pH but can also occur at neutral pH.	None	New definition using "pH growth preference" as genus.
METPO:1003008	acidotolerant	pH growth preference		A pH growth preference where acidic pH is tolerated but not required for growth.	None	New definition using "pH growth preference" as genus.
METPO:1003009	alkalotolerant	pH growth preference		A pH growth preference where alkaline pH is tolerated but not required for growth.	None	New definition using "pH growth preference" as genus.
METPO:1003021	pigmentation	phenotype	A phenotype characterized by the color of pigments produced by a microorganism.	A phenotype that characterizes the production and color of pigments by a microorganism.	None	Rewritten using "phenotype" as genus.
METPO:1003022	black pigmented	pigmentation	A phenotype characterized by the production of black-colored pigments.	A pigmentation where black-colored pigments are produced.	None	Uses "pigmentation" as genus.
METPO:1003023	brown pigmented	pigmentation	A phenotype characterized by the production of brown-colored pigments.	A pigmentation where brown-colored pigments are produced.	None	Uses "pigmentation" as genus.
METPO:1003024	cream pigmented	pigmentation	A phenotype characterized by the production of cream-colored pigments.	A pigmentation where cream-colored pigments are produced.	None	Uses "pigmentation" as genus.
METPO:1003025	green pigmented	pigmentation	A phenotype characterized by the production of green-colored pigments.	A pigmentation where green-colored pigments are produced.	None	Uses "pigmentation" as genus.
METPO:1003026	orange pigmented	pigmentation	A phenotype characterized by the production of orange-colored pigments.	A pigmentation where orange-colored pigments are produced.	None	Uses "pigmentation" as genus.
METPO:1003027	pink pigmented	pigmentation	A phenotype characterized by the production of pink-colored pigments.	A pigmentation where pink-colored pigments are produced.	None	Uses "pigmentation" as genus.
METPO:1003028	red pigmented	pigmentation	A phenotype characterized by the production of red-colored pigments.	A pigmentation where red-colored pigments are produced.	None	Uses "pigmentation" as genus.
METPO:1003029	white pigmented	pigmentation	A phenotype characterized by the production of white-colored pigments.	A pigmentation where white-colored pigments are produced.	None	Uses "pigmentation" as genus.
METPO:1003030	yellow pigmented	pigmentation	A phenotype characterized by the production of yellow-colored pigments.	A pigmentation where yellow-colored pigments are produced.	None	Uses "pigmentation" as genus.
METPO:1003031	carotenoid pigmentation	pigmentation	A phenotype characterized by the production of carotenoid pigments.	A pigmentation where carotenoid pigments are produced.	None	Uses "pigmentation" as genus.
METPO:1004000	pathogenic to host	phenotype	A pathogenicity phenotype where a microbe is a pathogen of of some host organism.	A phenotype where a microbe causes disease in a host organism.	None	Rewritten using "phenotype" as genus, corrected typo.
METPO:1004002	animal pathogen	pathogenic to host	A pathogenicity phenotype where a microbe is a pathogen of animals (Metazoa).	A pathogenic to host phenotype where the host is an animal organism.	None	Uses "pathogenic to host" as genus.
METPO:1004003	plant pathogen	pathogenic to host	A pathogenicity phenotype where a microbe is a pathogen of plants (Viridiplantae).	A pathogenic to host phenotype where the host is a plant organism.	None	Uses "pathogenic to host" as genus.
METPO:1004004	human pathogen	pathogenic to host	A pathogenicity phenotype where a microbe is a pathogen of humans (Homo sapiens).	A pathogenic to host phenotype where the host is a human.	None	Uses "pathogenic to host" as genus.
