card_id	trait_name	mapping_kind	base_category	substrate_label	predicate_positive_id	predicate_positive_label	predicate_negative_id	predicate_negative_label	substrate_chebi_ids	process_curies	matched_process_metpo	status	trait_format	curie_count	usable_external_curies
assimilation-glutamyl-glutamic-acid	assimilation: glutamyl-glutamic acid	composed	assimilation	glutamyl-glutamic acid	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:5390	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-glutathione	assimilation: glutathione	composed	assimilation	glutathione	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:16856	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-glycerol	assimilation: glycerol	composed	assimilation	glycerol	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17754	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-glycerol-1-phosphate	assimilation: glycerol 1-phosphate	composed	assimilation	glycerol 1-phosphate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:14336	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-glycine	assimilation: glycine	composed	assimilation	glycine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:15428	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-glycine-proline	assimilation: glycine-proline	composed	assimilation	glycine-proline	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:70744	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-glycogen	assimilation: glycogen	composed	assimilation	glycogen	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:28087	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-glycolate	assimilation: glycolate	composed	assimilation	glycolate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:29805	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-glycyl-l-aspartic-acid	assimilation: glycyl L-aspartic acid	composed	assimilation	glycyl L-aspartic acid	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:73804	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-glycyl-l-glutamate	assimilation: glycyl-l-glutamate	composed	assimilation	glycyl-l-glutamate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:73784	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-glycyl-l-proline	assimilation: glycyl-L-proline	composed	assimilation	glycyl-L-proline	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:70744	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-glycylglycine	assimilation: glycylglycine	composed	assimilation	glycylglycine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17201	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-glycylglycylglycine	assimilation: glycylglycylglycine	composed	assimilation	glycylglycylglycine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:63961	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-glyoxylate	assimilation: glyoxylate	composed	assimilation	glyoxylate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:36655	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-hexanoate	assimilation: hexanoate	composed	assimilation	hexanoate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17120	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-hippurate	assimilation: hippurate	composed	assimilation	hippurate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:606565	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-hydantoin	assimilation: hydantoin	composed	assimilation	hydantoin	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:27612	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-hydrogen-sulfide	assimilation: hydrogen sulfide	composed	assimilation	hydrogen sulfide	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:16136	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-hypoxanthine	assimilation: hypoxanthine	composed	assimilation	hypoxanthine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17368	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-indole	assimilation: indole	composed	assimilation	indole	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:35581	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-inosine	assimilation: inosine	composed	assimilation	inosine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17596	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-isobutyrate	assimilation: isobutyrate	composed	assimilation	isobutyrate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:48944	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-itaconate	assimilation: itaconate	composed	assimilation	itaconate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17240	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-alaninamide	assimilation: L-alaninamide	composed	assimilation	L-alaninamide	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:21217	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-alanine	assimilation: L-alanine	composed	assimilation	L-alanine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:16977	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-alanine-4-nitroanilide	assimilation: L-alanine 4-nitroanilide	composed	assimilation	L-alanine 4-nitroanilide	METPO:2000002	assimilates	METPO:2000027	does not assimilate		GO:0009058		missing_chebi; missing_process_term	composed_boolean	1	GO
assimilation-l-arabinose	assimilation: L-arabinose	composed	assimilation	L-arabinose	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:30849	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-arabitol	assimilation: L-arabitol	composed	assimilation	L-arabitol	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:18403	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-arginine	assimilation: L-arginine	composed	assimilation	L-arginine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:16467	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-arginine-2-naphthylamide	assimilation: L-arginine-2-naphthylamide	composed	assimilation	L-arginine-2-naphthylamide	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:90350	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-asparagine	assimilation: L-asparagine	composed	assimilation	L-asparagine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17196	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-aspartate	assimilation: L-aspartate	composed	assimilation	L-aspartate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:29991	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-cysteine	assimilation: L-cysteine	composed	assimilation	L-cysteine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17561	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-fucose	assimilation: L-fucose	composed	assimilation	L-fucose	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:18287	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-glutamate	assimilation: L-glutamate	composed	assimilation	L-glutamate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:29985	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-glutamine	assimilation: L-glutamine	composed	assimilation	L-glutamine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:18050	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-histidine	assimilation: L-histidine	composed	assimilation	L-histidine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:15971	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-isoleucine	assimilation: L-isoleucine	composed	assimilation	L-isoleucine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17191	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-lactate	assimilation: L-lactate	composed	assimilation	L-lactate	METPO:2000002	assimilates	METPO:2000027	does not assimilate		GO:0009058		missing_chebi; missing_process_term	composed_boolean	1	GO
assimilation-l-leucine	assimilation: L-leucine	composed	assimilation	L-leucine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:15603	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-lysine	assimilation: L-lysine	composed	assimilation	L-lysine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:18019	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-malate	assimilation: L-malate	composed	assimilation	L-malate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:15589	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-ornithine	assimilation: L-ornithine	composed	assimilation	L-ornithine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:15729	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-phenylalanine	assimilation: L-phenylalanine	composed	assimilation	L-phenylalanine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17295	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-proline	assimilation: L-proline	composed	assimilation	L-proline	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17203	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-rhamnose	assimilation: L-rhamnose	composed	assimilation	L-rhamnose	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:62345	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-serine	assimilation: L-serine	composed	assimilation	L-serine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17115	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-tartrate	assimilation: L-tartrate	composed	assimilation	L-tartrate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:30924	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-threonine	assimilation: L-threonine	composed	assimilation	L-threonine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:16857	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-tryptophan	assimilation: L-tryptophan	composed	assimilation	L-tryptophan	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:16828	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-l-valine	assimilation: L-valine	composed	assimilation	L-valine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:16414	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-lactate	assimilation: lactate	composed	assimilation	lactate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:24996	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-lactose	assimilation: lactose	composed	assimilation	lactose	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17716	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-malate	assimilation: malate	composed	assimilation	malate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:25115	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-malonate	assimilation: malonate	composed	assimilation	malonate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:15792	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-maltose	assimilation: maltose	composed	assimilation	maltose	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17306	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-mannan	assimilation: mannan	composed	assimilation	mannan	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:28808	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-mannitol	assimilation: mannitol	composed	assimilation	mannitol	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:29864	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-mannose	assimilation: mannose	composed	assimilation	mannose	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:37684	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-meat-extract	assimilation: meat extract	composed	assimilation	meat extract	METPO:2000002	assimilates	METPO:2000027	does not assimilate		GO:0009058		missing_chebi; missing_process_term	composed_boolean	1	GO
assimilation-melezitose	assimilation: melezitose	composed	assimilation	melezitose	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:6731	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-melibiose	assimilation: melibiose	composed	assimilation	melibiose	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:28053	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-methanol	assimilation: methanol	composed	assimilation	methanol	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17790	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-methyl-alpha-d-glucopyranoside	assimilation: methyl alpha-D-glucopyranoside	composed	assimilation	methyl alpha-D-glucopyranoside	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:320061	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-methylamine	assimilation: methylamine	composed	assimilation	methylamine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:16830	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-milk	assimilation: milk	composed	assimilation	milk	METPO:2000002	assimilates	METPO:2000027	does not assimilate		GO:0009058		missing_chebi; missing_process_term	composed_boolean	1	GO
assimilation-monomethyl-succinate	assimilation: monomethyl succinate	composed	assimilation	monomethyl succinate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:75146	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-myo-inositol	assimilation: myo-inositol	composed	assimilation	myo-inositol	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17268	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-n-acetyl-d-glucosamine	assimilation: N-acetyl-D-glucosamine	composed	assimilation	N-acetyl-D-glucosamine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:506227	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-n-acetylglucosamine	assimilation: N-acetylglucosamine	composed	assimilation	N-acetylglucosamine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:59640	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-pectin	assimilation: pectin	composed	assimilation	pectin	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17309	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-peptone	assimilation: peptone	composed	assimilation	peptone	METPO:2000002	assimilates	METPO:2000027	does not assimilate		GO:0009058		missing_chebi; missing_process_term	composed_boolean	1	GO
assimilation-phenylacetate	assimilation: phenylacetate	composed	assimilation	phenylacetate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:18401	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-phenylalanine	assimilation: phenylalanine	composed	assimilation	phenylalanine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:28044	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-potassium-5-dehydro-d-gluconate	assimilation: potassium 5-dehydro-D-gluconate	composed	assimilation	potassium 5-dehydro-D-gluconate	METPO:2000002	assimilates	METPO:2000027	does not assimilate		GO:0009058		missing_chebi; missing_process_term	composed_boolean	1	GO
assimilation-potassium-gluconate	assimilation: potassium gluconate	composed	assimilation	potassium gluconate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:32032	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-propionate	assimilation: propionate	composed	assimilation	propionate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17272	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-pyruvate	assimilation: pyruvate	composed	assimilation	pyruvate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:15361	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-quercetin	assimilation: quercetin	composed	assimilation	quercetin	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:16243	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-raffinose	assimilation: raffinose	composed	assimilation	raffinose	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:16634	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-ribitol	assimilation: ribitol	composed	assimilation	ribitol	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:15963	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-sodium-acetate	assimilation: sodium acetate	composed	assimilation	sodium acetate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:32954	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-sodium-citrate	assimilation: sodium citrate	composed	assimilation	sodium citrate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:53258	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-sodium-formate	assimilation: sodium formate	composed	assimilation	sodium formate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:62965	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-sodium-pyruvate	assimilation: sodium pyruvate	composed	assimilation	sodium pyruvate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:50144	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-sorbitol	assimilation: sorbitol	composed	assimilation	sorbitol	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:30911	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-succinate	assimilation: succinate	composed	assimilation	succinate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:30031	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-sucrose	assimilation: sucrose	composed	assimilation	sucrose	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:17992	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-threonine	assimilation: threonine	composed	assimilation	threonine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:26986	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-trehalose	assimilation: trehalose	composed	assimilation	trehalose	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:27082	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-trimethylamine	assimilation: trimethylamine	composed	assimilation	trimethylamine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:18139	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-tryptophan	assimilation: tryptophan	composed	assimilation	tryptophan	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:27897	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-tween-40	assimilation: tween 40	composed	assimilation	tween 40	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:53423	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-tyrosine	assimilation: tyrosine	composed	assimilation	tyrosine	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:18186	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-valerate	assimilation: valerate	composed	assimilation	valerate	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:31011	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
assimilation-xylose	assimilation: xylose	composed	assimilation	xylose	METPO:2000002	assimilates	METPO:2000027	does not assimilate	CHEBI:18222	GO:0009058		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-d-fructose	builds acid from: (-)-D-fructose	composed	builds acid from	(-)-D-fructose	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:48095	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-d-glucose	builds acid from: (-)-D-glucose	composed	builds acid from	(-)-D-glucose	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:17634	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-d-rhamnose	builds acid from: (-)-D-rhamnose	composed	builds acid from	(-)-D-rhamnose	METPO:2000003	builds acid from	METPO:2000028	does not build acid from		GO:0016053		missing_chebi; missing_process_term	composed_boolean	1	GO
builds-acid-from-d-ribose	builds acid from: (-)-D-ribose	composed	builds acid from	(-)-D-ribose	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:16988	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-d-sorbitol	builds acid from: (-)-D-sorbitol	composed	builds acid from	(-)-D-sorbitol	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:17924	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-l-sorbose	builds acid from: (-)-L-sorbose	composed	builds acid from	(-)-L-sorbose	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:17266	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-l-xylose	builds acid from: (-)-L-xylose	composed	builds acid from	(-)-L-xylose	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:65328	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-d-arabitol	builds acid from: (+)-D-arabitol	composed	builds acid from	(+)-D-arabitol	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:18333	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-d-fucose	builds acid from: (+)-D-fucose	composed	builds acid from	(+)-D-fucose	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:28847	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-d-galactose	builds acid from: (+)-D-galactose	composed	builds acid from	(+)-D-galactose	METPO:2000003	builds acid from	METPO:2000028	does not build acid from		GO:0016053		missing_chebi; missing_process_term	composed_boolean	1	GO
builds-acid-from-d-glucose	builds acid from: (+)-D-glucose	composed	builds acid from	(+)-D-glucose	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:17634	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-d-glycogen	builds acid from: (+)-D-glycogen	composed	builds acid from	(+)-D-glycogen	METPO:2000003	builds acid from	METPO:2000028	does not build acid from		GO:0016053		missing_chebi; missing_process_term	composed_boolean	1	GO
builds-acid-from-l-rhamnose	builds acid from: (+)-L-rhamnose	composed	builds acid from	(+)-L-rhamnose	METPO:2000003	builds acid from	METPO:2000028	does not build acid from		GO:0016053		missing_chebi; missing_process_term	composed_boolean	1	GO
builds-acid-from-r-amygdalin	builds acid from: (R)-amygdalin	composed	builds acid from	(R)-amygdalin	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:17019	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-s-lactate	builds acid from: (S)-lactate	composed	builds acid from	(S)-lactate	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:16651	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-1-sodium-lactate	builds acid from: 1 % sodium lactate	composed	builds acid from	1 % sodium lactate	METPO:2000003	builds acid from	METPO:2000028	does not build acid from		GO:0016053		missing_chebi; missing_process_term	composed_boolean	1	GO
builds-acid-from-1-o-methyl-alpha-galactopyranoside	builds acid from: 1-o-methyl alpha-galactopyranoside	composed	builds acid from	1-o-methyl alpha-galactopyranoside	METPO:2000003	builds acid from	METPO:2000028	does not build acid from		GO:0016053		missing_chebi; missing_process_term	composed_boolean	1	GO
builds-acid-from-1-3-beta-d-glucan	builds acid from: 1,3-beta-d-glucan	composed	builds acid from	1,3-beta-d-glucan	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:37671	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-2-dehydro-d-gluconate	builds acid from: 2-dehydro-D-gluconate	composed	builds acid from	2-dehydro-D-gluconate	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:16808	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-2-deoxy-d-ribose	builds acid from: 2-deoxy-d-ribose	composed	builds acid from	2-deoxy-d-ribose	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:28816	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-2-deoxyadenosine	builds acid from: 2-deoxyadenosine	composed	builds acid from	2-deoxyadenosine	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:17256	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-2-hydroxybutyrate	builds acid from: 2-hydroxybutyrate	composed	builds acid from	2-hydroxybutyrate	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:64552	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-2-naphthyl-dihydrogen-phosphate	builds acid from: 2-naphthyl dihydrogen phosphate	composed	builds acid from	2-naphthyl dihydrogen phosphate	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:91043	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-2-oxogluconate	builds acid from: 2-oxogluconate	composed	builds acid from	2-oxogluconate	METPO:2000003	builds acid from	METPO:2000028	does not build acid from		GO:0016053		missing_chebi; missing_process_term	composed_boolean	1	GO
builds-acid-from-2-oxoglutarate	builds acid from: 2-oxoglutarate	composed	builds acid from	2-oxoglutarate	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:30916	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-2-3-butanediol	builds acid from: 2,3-butanediol	composed	builds acid from	2,3-butanediol	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:62064	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
builds-acid-from-2-deoxyinosine	builds acid from: 2&#39;-deoxyinosine	composed	builds acid from	2&#39;-deoxyinosine	METPO:2000003	builds acid from	METPO:2000028	does not build acid from	CHEBI:28997	GO:0016053		resolved_with_notes	composed_boolean	2	CHEBI; GO
