card_id	name	type	ontology_curies	ontology_urls	description
assimilation-3-hydroxybenzoate	assimilation: 3-hydroxybenzoate	boolean	GO:0009058; CHEBI:16193	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16193	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-3-hydroxybutyrate	assimilation: 3-hydroxybutyrate	boolean	GO:0009058; CHEBI:37054	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:37054	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-3-methylglucose	assimilation: 3-methylglucose	boolean	GO:0009058; CHEBI:73918	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73918	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-3-o-methyl-alpha-d-glucopyranoside	assimilation: 3-O-methyl alpha-D-glucopyranoside	boolean	GO:0009058	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-3-o-methyl-d-glucose	assimilation: 3-O-methyl-D-glucose	boolean	GO:0009058; CHEBI:73918	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73918	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-3-phenylpropionate	assimilation: 3-phenylpropionate	boolean	GO:0009058; CHEBI:51057	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:51057	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-aminobutyrate	assimilation: 4-aminobutyrate	boolean	GO:0009058; CHEBI:30566	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30566	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-coumarate	assimilation: 4-coumarate	boolean	GO:0009058; CHEBI:32373	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32373	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-hydroxy-l-proline	assimilation: 4-hydroxy-L-proline	boolean	GO:0009058; CHEBI:18240	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18240	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-hydroxybenzoate	assimilation: 4-hydroxybenzoate	boolean	GO:0009058; CHEBI:17879	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17879	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-hydroxybutyrate	assimilation: 4-hydroxybutyrate	boolean	GO:0009058; CHEBI:16724	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16724	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-hydroxyphenylacetic-acid	assimilation: 4-hydroxyphenylacetic acid	boolean	GO:0009058; CHEBI:18101	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18101	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-nitrophenyl-6-o-phosphono-beta-d-galactoside	assimilation: 4-nitrophenyl 6-O-phosphono-beta-D-galactoside	boolean	GO:0009058; CHEBI:90128	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:90128	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-nitrophenyl-alpha-d-glucopyranoside	assimilation: 4-nitrophenyl alpha-D-glucopyranoside	boolean	GO:0009058; CHEBI:91122	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:91122	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-nitrophenyl-alpha-l-arabinoside	assimilation: 4-nitrophenyl alpha-L-arabinoside	boolean	GO:0009058; CHEBI:90133	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:90133	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-nitrophenyl-beta-d-galactopyranoside	assimilation: 4-nitrophenyl beta-D-galactopyranoside	boolean	GO:0009058; CHEBI:355715	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:355715	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-nitrophenyl-beta-d-galactopyranoside-hydrolysate	assimilation: 4-nitrophenyl beta-D-galactopyranoside hydrolysate	boolean	GO:0009058	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-nitrophenyl-beta-d-glucopyranoside	assimilation: 4-nitrophenyl beta-D-glucopyranoside	boolean	GO:0009058; CHEBI:90259	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:90259	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-nitrophenyl-beta-d-glucuronide	assimilation: 4-nitrophenyl beta-D-glucuronide	boolean	GO:0009058; CHEBI:90146	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:90146	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-nitrophenyl-beta-d-xylopyranoside	assimilation: 4-nitrophenyl beta-D-xylopyranoside	boolean	GO:0009058; CHEBI:90148	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:90148	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-nitrophenyl-n-acetyl-beta-d-glucosaminide	assimilation: 4-nitrophenyl N-acetyl-beta-D-glucosaminide	boolean	GO:0009058; CHEBI:90343	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:90343	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-nitrophenyl-phosphate	assimilation: 4-nitrophenyl phosphate	boolean	GO:0009058; CHEBI:17440	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17440	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-nitrophenyl-beta-d-galactoside	assimilation: 4-nitrophenyl-beta-D-galactoside	boolean	GO:0009058; CHEBI:355715	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:355715	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-oxopentanoate	assimilation: 4-oxopentanoate	boolean	GO:0009058; CHEBI:39150	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:39150	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-4-4-dihydroxy-biphenyl	assimilation: 4,4-dihydroxy-biphenyl	boolean	GO:0009058	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-5-aminovalerate	assimilation: 5-aminovalerate	boolean	GO:0009058; CHEBI:15887	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15887	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-5-aminovaleric-acid	assimilation: 5-aminovaleric acid	boolean	GO:0009058; CHEBI:15887	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15887	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-5-dehydro-d-gluconate	assimilation: 5-dehydro-D-gluconate	boolean	GO:0009058; CHEBI:58143	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58143	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-5-oxoproline	assimilation: 5-oxoproline	boolean	GO:0009058; CHEBI:57606	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57606	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-acetamide	assimilation: acetamide	boolean	GO:0009058; CHEBI:27856	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27856	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-acetate	assimilation: acetate	boolean	GO:0009058; CHEBI:30089	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30089	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-acetic-acid	assimilation: acetic acid	boolean	GO:0009058; CHEBI:16411	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16411	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-acetoacetate	assimilation: acetoacetate	boolean	GO:0009058; CHEBI:13705	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:13705	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-acetoin	assimilation: acetoin	boolean	GO:0009058; CHEBI:15688	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15688	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-acrylate	assimilation: acrylate	boolean	GO:0009058; CHEBI:37080	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:37080	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-adenine	assimilation: adenine	boolean	GO:0009058; CHEBI:16708	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16708	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-adenosine	assimilation: adenosine	boolean	GO:0009058; CHEBI:16335	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16335	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-adipate	assimilation: adipate	boolean	GO:0009058; CHEBI:17128	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17128	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-agar	assimilation: agar	boolean	GO:0009058; CHEBI:2509	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:2509	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-agarose	assimilation: agarose	boolean	GO:0009058; CHEBI:2511	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:2511	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-alanine	assimilation: alanine	boolean	GO:0009058; CHEBI:16449	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16449	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-alginate	assimilation: alginate	boolean	GO:0009058; CHEBI:58187	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58187	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-allantoin	assimilation: allantoin	boolean	GO:0009058; CHEBI:15676	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15676	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-alpha-cyclodextrin	assimilation: alpha-cyclodextrin	boolean	GO:0009058; CHEBI:40585	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:40585	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-alpha-d-glucose	assimilation: alpha-D-glucose	boolean	GO:0009058; CHEBI:17925	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17925	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-alpha-d-glucose-6-phosphate	assimilation: alpha-D-glucose 6-phosphate	boolean	GO:0009058; CHEBI:17665	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17665	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-alpha-hydroxybutyrate	assimilation: alpha-hydroxybutyrate	boolean	GO:0009058; CHEBI:64552	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64552	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-alpha-hydroxyglutarate-gamma-lactone	assimilation: alpha-hydroxyglutarate-gamma-lactone	boolean	GO:0009058; CHEBI:73673	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73673	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-alpha-l-rhamnose	assimilation: alpha-L-rhamnose	boolean	GO:0009058; CHEBI:27907	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27907	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-alpha-lactose	assimilation: alpha-lactose	boolean	GO:0009058; CHEBI:36219	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:36219	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-amikacin	assimilation: amikacin	boolean	GO:0009058; CHEBI:2637	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:2637	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-amino-acid	assimilation: amino acid	boolean	GO:0009058; CHEBI:33709	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:33709	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-ammonia	assimilation: ammonia	boolean	GO:0009058; CHEBI:16134	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16134	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-ammonium-nitrate	assimilation: ammonium nitrate	boolean	GO:0009058; CHEBI:63038	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63038	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-ammonium-sulfate	assimilation: ammonium sulfate	boolean	GO:0009058; CHEBI:62946	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62946	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-ampicillin	assimilation: ampicillin	boolean	GO:0009058; CHEBI:28971	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28971	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-amygdalin	assimilation: amygdalin	boolean	GO:0009058; CHEBI:27613	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27613	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-amylose	assimilation: amylose	boolean	GO:0009058; CHEBI:28102	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28102	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-arabinitol	assimilation: arabinitol	boolean	GO:0009058; CHEBI:22605	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:22605	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-arabinogalactan	assimilation: arabinogalactan	boolean	GO:0009058; CHEBI:27569	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27569	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-arabinose	assimilation: arabinose	boolean	GO:0009058; CHEBI:22599	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:22599	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-arbutin	assimilation: arbutin	boolean	GO:0009058; CHEBI:18305	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18305	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-arginine	assimilation: arginine	boolean	GO:0009058; CHEBI:29016	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29016	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-ascorbate	assimilation: ascorbate	boolean	GO:0009058; CHEBI:22651	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:22651	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-asparagine	assimilation: asparagine	boolean	GO:0009058; CHEBI:22653	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:22653	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-aspartate	assimilation: aspartate	boolean	GO:0009058; CHEBI:35391	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35391	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-azelaate	assimilation: azelaate	boolean	GO:0009058; CHEBI:78208	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:78208	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-aztreonam	assimilation: aztreonam	boolean	GO:0009058; CHEBI:161680	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:161680	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-beef-extract	assimilation: beef extract	boolean	GO:0009058	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
assimilation-benzamide	assimilation: benzamide	boolean	GO:0009058; CHEBI:28179	https://www.ebi.ac.uk/ols/ontologies/go/terms?obo_id=GO%3A0009058; https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28179	A cellular process consisting of the biochemical pathways by which a living organism synthesizes chemical substances. This typically represents the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.
